index,dt,datetime,timezone,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,snow_1h,snow_3h,snow_6h,snow_12h,snow_24h,snow_today,clouds_all,weather_id
254435,1667235600,2022-11-01 00:00:00,28800,Denpasar,-8.652497,115.219117,25.6,25.6,25.6,1009.0,,,86,0.51,79,,,,,,,,,,,,,40,802
254436,1667239200,2022-11-01 01:00:00,28800,Denpasar,-8.652497,115.219117,25.6,25.6,25.6,1009.0,,,86,0.67,100,,,,,,,,,,,,,40,802
254437,1667242800,2022-11-01 02:00:00,28800,Denpasar,-8.652497,115.219117,25.6,25.6,25.6,1009.0,,,86,0.7,110,,,,,,,,,,,,,40,802
254438,1667246400,2022-11-01 03:00:00,28800,Denpasar,-8.652497,115.219117,24.9,24.9,24.9,1009.3,,,87,1.0,350,,,,,,,,,,,,,20,801
254439,1667250000,2022-11-01 04:00:00,28800,Denpasar,-8.652497,115.219117,24.9,24.9,24.9,1009.3,,,87,1.0,350,,,,,,,,,,,,,20,801
254440,1667253600,2022-11-01 05:00:00,28800,Denpasar,-8.652497,115.219117,24.9,24.9,24.9,1009.3,,,87,1.0,350,,,,,,,,,,,,,20,801
254441,1667257200,2022-11-01 06:00:00,28800,Denpasar,-8.652497,115.219117,28.3,28.3,28.3,1011.0,,,73,1.0,140,,,,,,,,,,,,,20,801
254442,1667260800,2022-11-01 07:00:00,28800,Denpasar,-8.652497,115.219117,28.3,28.3,28.3,1011.0,,,73,1.0,140,,,,,,,,,,,,,20,801
254443,1667264400,2022-11-01 08:00:00,28800,Denpasar,-8.652497,115.219117,28.3,28.3,28.3,1011.0,,,73,1.0,140,,,,,,,,,,,,,20,801
254444,1667268000,2022-11-01 09:00:00,28800,Denpasar,-8.652497,115.219117,30.3,30.3,30.3,1010.8,,,66,4.1,230,,,,,,,,,,,,,20,801
254445,1667271600,2022-11-01 10:00:00,28800,Denpasar,-8.652497,115.219117,30.3,30.3,30.3,1010.8,,,66,4.1,230,,,,,,,,,,,,,20,801
254446,1667275200,2022-11-01 11:00:00,28800,Denpasar,-8.652497,115.219117,30.3,30.3,30.3,1010.8,,,66,4.1,230,,,,,,,,,,,,,20,801
254447,1667278800,2022-11-01 12:00:00,28800,Denpasar,-8.652497,115.219117,31.5,31.5,31.5,1008.5,,,59,4.1,120,,,,,,,,,,,,,20,801
254448,1667282400,2022-11-01 13:00:00,28800,Denpasar,-8.652497,115.219117,31.5,31.5,31.5,1008.5,,,59,4.1,120,,,,,,,,,,,,,20,801
254449,1667286000,2022-11-01 14:00:00,28800,Denpasar,-8.652497,115.219117,31.5,31.5,31.5,1008.5,,,59,4.1,120,,,,,,,,,,,,,20,801
254450,1667289600,2022-11-01 15:00:00,28800,Denpasar,-8.652497,115.219117,29.7,29.7,29.7,1007.4,,,64,2.6,120,,,,,,,,,,,,,20,801
254451,1667293200,2022-11-01 16:00:00,28800,Denpasar,-8.652497,115.219117,29.7,29.7,29.7,1007.4,,,64,2.6,120,,,,,,,,,,,,,20,801
254452,1667296800,2022-11-01 17:00:00,28800,Denpasar,-8.652497,115.219117,29.7,29.7,29.7,1007.4,,,64,2.6,120,,,,,,,,,,,,,20,801
254453,1667300400,2022-11-01 18:00:00,28800,Denpasar,-8.652497,115.219117,27.2,27.2,27.2,1009.3,,,77,1.5,110,,,,,,,,,,,,,20,801
254454,1667304000,2022-11-01 19:00:00,28800,Denpasar,-8.652497,115.219117,27.2,27.2,27.2,1009.3,,,77,1.5,110,,,,,,,,,,,,,20,801
254455,1667307600,2022-11-01 20:00:00,28800,Denpasar,-8.652497,115.219117,27.2,27.2,27.2,1009.3,,,77,1.5,110,,,,,,,,,,,,,20,801
254456,1667311200,2022-11-01 21:00:00,28800,Denpasar,-8.652497,115.219117,26.5,26.5,26.5,1011.3,,,88,1.11,70,,,,,,,,,,,,,20,801
254457,1667314800,2022-11-01 22:00:00,28800,Denpasar,-8.652497,115.219117,26.5,26.5,26.5,1011.3,,,88,1.23,73,,,,,,,,,,,,,20,801
254458,1667318400,2022-11-01 23:00:00,28800,Denpasar,-8.652497,115.219117,26.5,26.5,26.5,1011.3,,,88,1.09,75,,,,,,,,,,,,,20,801
254459,1667322000,2022-11-02 00:00:00,28800,Denpasar,-8.652497,115.219117,25.9,25.9,25.9,1010.1,,,90,1.0,250,,,,,,,,,,,,,20,801
254460,1667325600,2022-11-02 01:00:00,28800,Denpasar,-8.652497,115.219117,25.9,25.9,25.9,1010.1,,,90,1.0,250,,,,,,,,,,,,,20,801
254461,1667329200,2022-11-02 02:00:00,28800,Denpasar,-8.652497,115.219117,25.9,25.9,25.9,1010.1,,,90,1.0,250,,,,,,,,,,,,,20,801
254462,1667332800,2022-11-02 03:00:00,28800,Denpasar,-8.652497,115.219117,25.4,25.4,25.4,1010.2,,,85,0.5,10,,,,,,,,,,,,,20,801
254463,1667336400,2022-11-02 04:00:00,28800,Denpasar,-8.652497,115.219117,25.4,25.4,25.4,1010.2,,,85,0.5,10,,,,,,,,,,,,,20,801
254464,1667340000,2022-11-02 05:00:00,28800,Denpasar,-8.652497,115.219117,25.4,25.4,25.4,1010.2,,,85,0.5,10,,,,,,,,,,,,,20,801
254465,1667343600,2022-11-02 06:00:00,28800,Denpasar,-8.652497,115.219117,27.9,27.9,27.9,1012.1,,,82,1.5,120,,,,,,,,,,,,,40,802
254466,1667347200,2022-11-02 07:00:00,28800,Denpasar,-8.652497,115.219117,27.9,27.9,27.9,1012.1,,,82,1.5,120,,,,,,,,,,,,,40,802
254467,1667350800,2022-11-02 08:00:00,28800,Denpasar,-8.652497,115.219117,27.9,27.9,27.9,1012.1,,,82,1.5,120,,,,,,,,,,,,,40,802
254468,1667354400,2022-11-02 09:00:00,28800,Denpasar,-8.652497,115.219117,31.3,31.3,31.3,1011.8,,,65,3.1,130,,,,,,,,,,,,,20,801
