,dt,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,clouds_all,weather_id,datetime,year
194059,1451581200,25.18,25.0,25.3,1008.1,,,94,0.5,0,,,,,,,20,801,2016-01-01 00:00:00,2016
194060,1451584800,25.15,25.0,25.3,1007.8,,,93,1.0,280,,,,,,,40,701,2016-01-01 01:00:00,2016
194061,1451588400,25.18,25.0,25.3,1008.1,,,94,1.5,360,,,,,,,20,701,2016-01-01 02:00:00,2016
194062,1451592000,25.0,25.0,25.0,1008.1,,,94,1.0,0,,,,,,,20,701,2016-01-01 03:00:00,2016
194063,1451595600,25.0,25.0,25.0,1007.8,,,93,1.0,20,,,,,,,40,701,2016-01-01 04:00:00,2016
194064,1451599200,25.0,25.0,25.0,1008.1,,,94,1.0,0,,,,,,,40,701,2016-01-01 05:00:00,2016
194065,1451602800,26.18,26.0,26.3,1009.1,,,83,1.5,350,,0.2,,,2.0,,40,500,2016-01-01 06:00:00,2016
194066,1451606400,26.15,26.0,26.3,1010.2,,,88,1.0,0,,0.2,,,2.0,,40,500,2016-01-01 07:00:00,2016
194067,1451610000,27.76,26.3,30.0,1009.1,,,70,0.5,0,,0.2,,,2.0,,20,500,2016-01-01 08:00:00,2016
194068,1451613600,30.15,29.6,31.0,1010.2,,,70,1.5,0,,,,,,,20,801,2016-01-01 09:00:00,2016
194069,1451617200,29.8,29.6,30.0,1009.1,,,74,2.1,90,,,,,,,20,801,2016-01-01 10:00:00,2016
194070,1451620800,29.76,29.6,30.0,1009.1,,,79,3.1,110,,,,,,,40,802,2016-01-01 11:00:00,2016
194071,1451624400,28.97,28.0,29.6,1008.1,,,74,1.5,140,,,,,,,40,802,2016-01-01 12:00:00,2016
194072,1451628000,29.3,29.0,29.6,1007.1,,,78,3.6,90,,,,,,,40,802,2016-01-01 13:00:00,2016
194073,1451631600,28.97,28.0,29.6,1007.1,,,83,2.6,90,,,,,,,20,801,2016-01-01 14:00:00,2016
194074,1451635200,27.0,27.0,27.0,1007.1,,,88,5.1,360,,,,,,,20,500,2016-01-01 15:00:00,2016
194075,1451638800,27.0,27.0,27.0,1006.7,,,84,4.1,340,,0.0,,,,,20,500,2016-01-01 16:00:00,2016
194076,1451642400,26.61,26.0,27.0,1008.1,,,83,4.1,320,,,,,,,20,500,2016-01-01 17:00:00,2016
194077,1451646000,25.82,25.7,26.0,1008.1,,,83,3.1,290,,1.0,1.0,,,,20,500,2016-01-01 18:00:00,2016
194078,1451649600,25.85,25.7,26.0,1008.3,,,89,1.0,290,,1.0,1.0,,,,40,500,2016-01-01 19:00:00,2016
194079,1451653200,25.42,25.0,25.7,1009.1,,,94,2.1,340,,1.0,1.0,,,,20,500,2016-01-01 20:00:00,2016
194080,1451656800,25.94,25.9,26.0,1009.1,,,88,2.6,300,,0.2,,,,,1,500,2016-01-01 21:00:00,2016
194081,1451660400,25.95,25.9,26.0,1008.8,,,90,1.5,270,,0.2,,,,,20,500,2016-01-01 22:00:00,2016
194082,1451664000,25.54,25.0,25.9,1008.1,,,94,1.5,40,,0.2,,,,,40,500,2016-01-01 23:00:00,2016
194083,1451667600,24.7,24.5,25.0,1008.1,,,94,1.0,0,,,,,,,40,802,2016-01-02 00:00:00,2016
194084,1451671200,24.75,24.5,25.0,1007.0,,,93,0.32,250,,,,,,,20,801,2016-01-02 01:00:00,2016
194085,1451674800,24.3,24.0,24.5,1007.1,,,94,1.0,0,,,,,,,20,801,2016-01-02 02:00:00,2016
194086,1451678400,24.1,24.0,24.2,1007.8,,,93,0.71,172,,,,,,,40,802,2016-01-02 03:00:00,2016
194087,1451682000,24.2,24.2,24.2,1007.8,,,93,1.12,172,,,,,,,40,802,2016-01-02 04:00:00,2016
194088,1451685600,24.12,24.0,24.2,1008.1,,,94,1.0,0,,,,,,,20,801,2016-01-02 05:00:00,2016
194089,1451689200,26.88,25.0,28.1,1009.1,,,94,0.5,0,,,,,1.0,,20,801,2016-01-02 06:00:00,2016
194090,1451692800,28.05,28.0,28.1,1009.5,,,80,1.0,130,,,,,1.0,,40,802,2016-01-02 07:00:00,2016
194091,1451696400,28.46,28.1,29.0,1010.2,,,74,0.5,0,,,,,1.0,,20,801,2016-01-02 08:00:00,2016
194092,1451700000,30.0,30.0,30.0,1010.2,,,74,2.1,250,,,,,,,20,801,2016-01-02 09:00:00,2016
194093,1451703600,30.0,30.0,30.0,1010.2,,,70,2.6,240,,,,,,,20,801,2016-01-02 10:00:00,2016
194094,1451707200,30.0,30.0,30.0,1009.1,,,79,4.6,250,,,,,,,20,801,2016-01-02 11:00:00,2016
194095,1451710800,31.3,31.0,31.5,1008.1,,,74,3.6,240,,,,,,,20,801,2016-01-02 12:00:00,2016
194096,1451714400,31.23,31.0,31.5,1006.9,,,66,4.1,230,,,,,,,20,801,2016-01-02 13:00:00,2016
194097,1451718000,31.3,31.0,31.5,1007.1,,,70,4.1,250,,,,,,,20,801,2016-01-02 14:00:00,2016
194098,1451721600,31.0,31.0,31.0,1006.1,,,70,4.1,250,,,,,,,20,801,2016-01-02 15:00:00,2016
194099,1451725200,26.66,26.66,26.66,1008.0,,,82,0.55,209,,,,,,,96,804,2016-01-02 16:00:00,2016
194100,1451728800,30.0,30.0,30.0,1008.1,,,70,2.6,90,,,,,,,40,211,2016-01-02 17:00:00,2016
194101,1451732400,28.54,28.0,28.9,1008.1,,,83,2.6,80,,,,,,,40,211,2016-01-02 18:00:00,2016
194102,1451736000,28.95,28.9,29.0,1008.8,,,77,1.0,180,,,,,,,40,211,2016-01-02 19:00:00,2016
194103,1451739600,28.15,27.0,28.9,1010.0,,,88,5.7,20,,,,,,,20,211,2016-01-02 20:00:00,2016
194104,1451739600,28.15,27.0,28.9,1010.0,,,88,5.7,20,,,,,,,20,501,2016-01-02 20:00:00,2016
194105,1451743200,27.0,27.0,27.0,1010.2,,,88,1.5,350,,7.0,,,,,40,501,2016-01-02 21:00:00,2016
194106,1451746800,27.0,27.0,27.0,1010.0,,,90,2.1,40,,7.0,,,,,40,501,2016-01-02 22:00:00,2016
194107,1451750400,27.0,27.0,27.0,1009.1,,,88,1.5,20,,7.0,,,,,40,501,2016-01-02 23:00:00,2016
194108,1451754000,27.0,27.0,27.0,1009.0,,,88,1.0,350,,,,,,,20,211,2016-01-03 00:00:00,2016
194109,1451757600,27.0,27.0,27.0,1008.1,,,88,2.1,220,,,,,,,40,211,2016-01-03 01:00:00,2016
194110,1451761200,26.0,26.0,26.0,1008.1,,,94,2.1,160,,,,,,,75,211,2016-01-03 02:00:00,2016
194111,1451764800,26.58,26.3,27.0,1008.1,,,88,2.6,90,,,,,,,75,803,2016-01-03 03:00:00,2016
194112,1451768400,26.15,26.0,26.3,1007.8,,,92,2.1,60,,,,,,,40,211,2016-01-03 04:00:00,2016
194113,1451772000,26.18,26.0,26.3,1009.1,,,88,3.1,160,,,,,,,75,211,2016-01-03 05:00:00,2016
194114,1451775600,25.36,25.0,25.6,1010.2,,,94,1.0,0,,10.0,,,17.0,,75,201,2016-01-03 06:00:00,2016
194115,1451775600,25.36,25.0,25.6,1010.2,,,94,1.0,0,,10.0,,,17.0,,75,521,2016-01-03 06:00:00,2016
194116,1451779200,25.8,25.6,26.0,1010.1,,,94,1.0,130,,10.0,,,17.0,,40,201,2016-01-03 07:00:00,2016
194117,1451779200,25.8,25.6,26.0,1010.1,,,94,1.0,130,,10.0,,,17.0,,40,501,2016-01-03 07:00:00,2016
194118,1451782800,26.15,25.6,27.0,1011.9,,,88,0.5,0,,10.0,,,17.0,,75,201,2016-01-03 08:00:00,2016
194119,1451782800,26.15,25.6,27.0,1011.9,,,88,0.5,0,,10.0,,,17.0,,75,520,2016-01-03 08:00:00,2016
194120,1451786400,27.61,27.0,28.0,1010.8,,,88,1.5,130,,0.8,,,,,75,500,2016-01-03 09:00:00,2016
194121,1451790000,28.0,28.0,28.0,1010.9,,,85,1.0,140,,0.8,,,,,40,500,2016-01-03 10:00:00,2016
