index,dt,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,clouds_all,weather_id,datetime,year,month
101867,1122829200,26.0,26.0,26.0,1011.9,,,78,2.1,130,,,,,,,20,801,2005-08-01 00:00:00,2005,8
101868,1122832800,25.2,25.2,25.2,1011.9,,,74,1.5,130,,,,,,,20,801,2005-08-01 01:00:00,2005,8
101869,1122836400,24.81,24.81,24.81,1012.0,,,77,5.31,131,,,,,,,47,802,2005-08-01 02:00:00,2005,8
101870,1122840000,24.68,24.68,24.68,1012.0,,,77,5.09,132,,,,,,,43,802,2005-08-01 03:00:00,2005,8
101871,1122843600,24.6,24.6,24.6,1010.8,,,78,0.5,150,,,,,,,20,801,2005-08-01 04:00:00,2005,8
101872,1122847200,25.0,25.0,25.0,1010.8,,,83,1.0,140,,,,,,,20,801,2005-08-01 05:00:00,2005,8
101873,1122850800,25.0,25.0,25.0,1010.8,,,83,1.0,140,,,,,,,20,801,2005-08-01 06:00:00,2005,8
101874,1122854400,24.6,24.6,24.6,1011.9,,,78,5.52,121,,,,,,,75,803,2005-08-01 07:00:00,2005,8
101875,1122858000,27.0,27.0,27.0,1012.9,,,78,2.6,120,,,,,,,20,801,2005-08-01 08:00:00,2005,8
101876,1122861600,28.0,28.0,28.0,1011.9,,,74,3.6,110,,,,,,,20,801,2005-08-01 09:00:00,2005,8
101877,1122865200,28.8,28.8,28.8,1011.9,,,60,3.6,130,,,,,,,20,801,2005-08-01 10:00:00,2005,8
101878,1122868800,29.0,29.0,29.0,1010.8,,,66,3.6,120,,,,,,,20,801,2005-08-01 11:00:00,2005,8
101879,1122872400,29.0,29.0,29.0,1010.2,,,70,5.1,120,,,,,,,20,801,2005-08-01 12:00:00,2005,8
101880,1122876000,27.6,27.6,27.6,1010.2,,,63,5.1,120,,,,,,,20,801,2005-08-01 13:00:00,2005,8
101881,1122879600,28.0,28.0,28.0,1009.1,,,69,4.1,110,,,,,,,20,801,2005-08-01 14:00:00,2005,8
101882,1122883200,28.0,28.0,28.0,1009.1,,,65,4.6,140,,,,,,,20,801,2005-08-01 15:00:00,2005,8
101883,1122886800,26.5,26.5,26.5,1009.1,,,64,4.6,120,,,,,,,20,801,2005-08-01 16:00:00,2005,8
101884,1122890400,26.0,26.0,26.0,1009.1,,,69,4.1,120,,,,,,,20,801,2005-08-01 17:00:00,2005,8
101885,1122894000,26.0,26.0,26.0,1010.2,,,69,3.1,130,,,,,,,20,801,2005-08-01 18:00:00,2005,8
101886,1122897600,25.6,25.6,25.6,1010.2,,,66,3.1,120,,,,,,,20,801,2005-08-01 19:00:00,2005,8
101887,1122901200,25.0,25.0,25.0,1010.8,,,73,4.1,120,,,,,,,20,801,2005-08-01 20:00:00,2005,8
101888,1122904800,25.0,25.0,25.0,1010.8,,,73,3.1,120,,,,,,,75,803,2005-08-01 21:00:00,2005,8
101889,1122908400,25.6,25.6,25.6,1010.8,,,65,3.1,110,,,,,,,75,803,2005-08-01 22:00:00,2005,8
101890,1122912000,25.0,25.0,25.0,1010.8,,,73,3.1,130,,,,,,,75,803,2005-08-01 23:00:00,2005,8
101891,1122915600,25.0,25.0,25.0,1010.8,,,73,1.5,150,,,,,,,75,803,2005-08-02 00:00:00,2005,8
101892,1122919200,24.6,24.6,24.6,1010.2,,,71,1.5,160,,,,,,,75,803,2005-08-02 01:00:00,2005,8
101893,1122922800,25.0,25.0,25.0,1010.2,,,69,1.5,120,,,,,,,75,803,2005-08-02 02:00:00,2005,8
101894,1122926400,24.7,24.7,24.7,1010.0,,,66,5.34,110,,,,,,,8,800,2005-08-02 03:00:00,2005,8
101895,1122930000,24.64,24.64,24.64,1010.0,,,66,5.35,109,,,,,,,19,801,2005-08-02 04:00:00,2005,8
101896,1122933600,24.0,24.0,24.0,1010.2,,,78,5.0,109,,,,,,,75,803,2005-08-02 05:00:00,2005,8
101897,1122937200,24.0,24.0,24.0,1010.8,,,78,5.24,112,,,,,,,20,801,2005-08-02 06:00:00,2005,8
101898,1122940800,24.2,24.2,24.2,1010.8,,,67,5.58,114,,,,,,,20,801,2005-08-02 07:00:00,2005,8
101899,1122944400,26.0,26.0,26.0,1011.9,,,65,1.5,120,,,,,,,20,801,2005-08-02 08:00:00,2005,8
101900,1122948000,28.0,28.0,28.0,1011.9,,,51,3.6,110,,,,,,,20,801,2005-08-02 09:00:00,2005,8
101901,1122951600,28.0,28.0,28.0,1011.9,,,55,3.6,110,,,,,,,20,801,2005-08-02 10:00:00,2005,8
101902,1122955200,29.0,29.0,29.0,1010.8,,,54,4.1,110,,,,,,,20,801,2005-08-02 11:00:00,2005,8
101903,1122958800,29.0,29.0,29.0,1010.8,,,51,3.6,110,,,,,,,20,801,2005-08-02 12:00:00,2005,8
101904,1122962400,28.4,28.4,28.4,1009.1,,,51,4.1,110,,,,,,,20,801,2005-08-02 13:00:00,2005,8
101905,1122966000,29.0,29.0,29.0,1009.1,,,54,3.6,130,,,,,,,20,801,2005-08-02 14:00:00,2005,8
101906,1122969600,28.0,28.0,28.0,1009.1,,,61,2.6,130,,,,,,,20,801,2005-08-02 15:00:00,2005,8
101907,1122973200,27.4,27.4,27.4,1009.1,,,59,3.6,110,,,,,,,20,801,2005-08-02 16:00:00,2005,8
101908,1122976800,26.0,26.0,26.0,1009.1,,,65,2.6,120,,,,,,,20,801,2005-08-02 17:00:00,2005,8
101909,1122980400,26.0,26.0,26.0,1010.2,,,65,2.1,120,,,,,,,20,801,2005-08-02 18:00:00,2005,8
101910,1122984000,25.6,25.6,25.6,1010.8,,,67,3.1,110,,,,,,,20,801,2005-08-02 19:00:00,2005,8
101911,1122987600,25.3,25.3,25.3,1011.0,,,65,5.88,116,,,,,,,0,800,2005-08-02 20:00:00,2005,8
