dt,timezone,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,snow_1h,snow_3h,snow_6h,snow_12h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon,datetime,year,month
1038675600,28800,Denpasar,-8.652497,115.219117,26.0,26.0,26.0,1010.1,,,89,3.1,300,,,19.0,,,,,,,,,,20,801,Clouds,few clouds,02n,2002-12-01 00:00:00,2002,12
1038679200,28800,Denpasar,-8.652497,115.219117,26.0,26.0,26.0,1010.1,,,89,3.1,300,,,19.0,,,,,,,,,,20,801,Clouds,few clouds,02n,2002-12-01 01:00:00,2002,12
1038682800,28800,Denpasar,-8.652497,115.219117,26.0,26.0,26.0,1010.1,,,89,3.1,300,,,19.0,,,,,,,,,,20,801,Clouds,few clouds,02n,2002-12-01 02:00:00,2002,12
1038686400,28800,Denpasar,-8.652497,115.219117,25.8,25.8,25.8,1008.5,,,89,4.6,290,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02n,2002-12-01 03:00:00,2002,12
1038690000,28800,Denpasar,-8.652497,115.219117,26.12,26.12,26.12,1009.0,,,88,4.45,259,0.55,,,,,,,,,,,,100,500,Rain,light rain,10n,2002-12-01 04:00:00,2002,12
1038693600,28800,Denpasar,-8.652497,115.219117,26.0,26.0,26.0,1008.1,,,88,6.2,270,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-12-01 05:00:00,2002,12
1038697200,28800,Denpasar,-8.652497,115.219117,27.0,27.0,27.0,1009.1,,,83,5.1,260,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-12-01 06:00:00,2002,12
1038700800,28800,Denpasar,-8.652497,115.219117,27.8,27.8,27.8,1009.1,,,79,5.1,260,,,0.0,,19.0,,,,,,,,20,801,Clouds,few clouds,02d,2002-12-01 07:00:00,2002,12
1038704400,28800,Denpasar,-8.652497,115.219117,25.92,25.92,25.92,1010.0,,,88,4.63,261,0.23,,,,,,,,,,,,100,500,Rain,light rain,10d,2002-12-01 08:00:00,2002,12
1038708000,28800,Denpasar,-8.652497,115.219117,25.9,25.9,25.9,1010.0,,,88,4.67,256,0.91,,,,,,,,,,,,99,500,Rain,light rain,10d,2002-12-01 09:00:00,2002,12
1038711600,28800,Denpasar,-8.652497,115.219117,29.8,29.8,29.8,1010.2,,,73,5.1,280,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-12-01 10:00:00,2002,12
1038715200,28800,Denpasar,-8.652497,115.219117,30.0,30.0,30.0,1009.1,,,70,5.1,270,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-12-01 11:00:00,2002,12
1038718800,28800,Denpasar,-8.652497,115.219117,30.0,30.0,30.0,1009.1,,,70,5.7,260,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-12-01 12:00:00,2002,12
1038722400,28800,Denpasar,-8.652497,115.219117,30.4,30.4,30.4,1007.9,,,71,4.6,250,,,0.0,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2002-12-01 13:00:00,2002,12
1038726000,28800,Denpasar,-8.652497,115.219117,26.0,26.0,26.0,1007.0,,,88,4.79,271,,,,,,,,,,,,,100,804,Clouds,overcast clouds,04d,2002-12-01 14:00:00,2002,12
1038729600,28800,Denpasar,-8.652497,115.219117,26.32,26.32,26.32,1007.0,,,87,5.57,265,,,,,,,,,,,,,100,804,Clouds,overcast clouds,04d,2002-12-01 15:00:00,2002,12
1038733200,28800,Denpasar,-8.652497,115.219117,29.4,29.4,29.4,1007.1,,,73,5.1,250,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-12-01 16:00:00,2002,12
1038736800,28800,Denpasar,-8.652497,115.219117,28.0,28.0,28.0,1007.1,,,78,5.1,260,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-12-01 17:00:00,2002,12
1038740400,28800,Denpasar,-8.652497,115.219117,28.0,28.0,28.0,1008.1,,,78,5.1,260,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2002-12-01 18:00:00,2002,12
1038744000,28800,Denpasar,-8.652497,115.219117,28.4,28.4,28.4,1009.1,,,77,1.5,260,,,0.0,,,,,,,,,,20,211,Thunderstorm,proximity thunderstorm,11n,2002-12-01 19:00:00,2002,12
1038747600,28800,Denpasar,-8.652497,115.219117,25.91,25.91,25.91,1010.0,,,91,3.84,274,0.75,,,,,,,,,,,,100,500,Rain,light rain,10n,2002-12-01 20:00:00,2002,12
1038751200,28800,Denpasar,-8.652497,115.219117,25.98,25.98,25.98,1010.0,,,90,4.51,283,0.67,,,,,,,,,,,,100,500,Rain,light rain,10n,2002-12-01 21:00:00,2002,12
1038754800,28800,Denpasar,-8.652497,115.219117,25.8,25.8,25.8,1010.8,,,93,5.1,290,,15.0,,,,,,,,,,,90,502,Rain,heavy intensity rain,10n,2002-12-01 22:00:00,2002,12
1038758400,28800,Denpasar,-8.652497,115.219117,26.22,26.22,26.22,1010.0,,,87,5.64,290,0.41,,,,,,,,,,,,100,500,Rain,light rain,10n,2002-12-01 23:00:00,2002,12
1038762000,28800,Denpasar,-8.652497,115.219117,26.22,26.22,26.22,1009.0,,,88,5.94,291,0.33,,,,,,,,,,,,100,500,Rain,light rain,10n,2002-12-02 00:00:00,2002,12
1038765600,28800,Denpasar,-8.652497,115.219117,25.6,25.6,25.6,1008.1,,,91,4.1,290,,,,,,,,,,,,,75,501,Rain,moderate rain,10n,2002-12-02 01:00:00,2002,12
1038769200,28800,Denpasar,-8.652497,115.219117,25.6,25.6,25.6,1008.1,,,91,4.1,290,,,,,,,,,,,,,75,501,Rain,moderate rain,10n,2002-12-02 02:00:00,2002,12
1038772800,28800,Denpasar,-8.652497,115.219117,26.0,26.0,26.0,1007.1,,,88,5.1,280,,1.0,,,,,,,,,,,75,501,Rain,moderate rain,10n,2002-12-02 03:00:00,2002,12
1038776400,28800,Denpasar,-8.652497,115.219117,25.61,25.61,25.61,1008.0,,,91,5.55,284,1.46,,,,,,,,,,,,100,501,Rain,moderate rain,10n,2002-12-02 04:00:00,2002,12
1038780000,28800,Denpasar,-8.652497,115.219117,26.0,26.0,26.0,1008.1,,,88,5.7,300,,,,,,,,,,,,,75,803,Clouds,broken clouds,04d,2002-12-02 05:00:00,2002,12
1038783600,28800,Denpasar,-8.652497,115.219117,25.69,25.69,25.69,1009.0,,,89,4.59,264,1.58,,,,,,,,,,,,100,501,Rain,moderate rain,10d,2002-12-02 06:00:00,2002,12
1038787200,28800,Denpasar,-8.652497,115.219117,26.6,26.6,26.6,1009.1,,,88,5.7,300,,,0.0,,18.0,,,,,,,,75,803,Clouds,broken clouds,04d,2002-12-02 07:00:00,2002,12
1038790800,28800,Denpasar,-8.652497,115.219117,26.16,26.16,26.16,1010.0,,,86,4.74,273,0.82,,,,,,,,,,,,100,500,Rain,light rain,10d,2002-12-02 08:00:00,2002,12
1038794400,28800,Denpasar,-8.652497,115.219117,25.98,25.98,25.98,1010.0,,,87,4.72,269,1.49,,,,,,,,,,,,100,501,Rain,moderate rain,10d,2002-12-02 09:00:00,2002,12
1038798000,28800,Denpasar,-8.652497,115.219117,26.4,26.4,26.4,1009.1,,,91,2.1,250,,7.0,,,,,,,,,,,20,501,Rain,moderate rain,10d,2002-12-02 10:00:00,2002,12
1038801600,28800,Denpasar,-8.652497,115.219117,25.64,25.64,25.64,1009.0,,,92,5.46,275,2.25,,,,,,,,,,,,100,501,Rain,moderate rain,10d,2002-12-02 11:00:00,2002,12
1038805200,28800,Denpasar,-8.652497,115.219117,25.67,25.67,25.67,1009.0,,,92,5.47,269,1.9,,,,,,,,,,,,100,501,Rain,moderate rain,10d,2002-12-02 12:00:00,2002,12
1038808800,28800,Denpasar,-8.652497,115.219117,27.2,27.2,27.2,1008.1,,,84,7.7,250,,0.4,7.0,,,,,,,,,,75,500,Rain,light rain,10d,2002-12-02 13:00:00,2002,12
1038812400,28800,Denpasar,-8.652497,115.219117,25.65,25.65,25.65,1007.0,,,91,6.11,259,1.72,,,,,,,,,,,,100,501,Rain,moderate rain,10d,2002-12-02 14:00:00,2002,12
1038816000,28800,Denpasar,-8.652497,115.219117,25.55,25.55,25.55,1007.0,,,92,6.75,265,1.02,,,,,,,,,,,,100,501,Rain,moderate rain,10d,2002-12-02 15:00:00,2002,12
1038819600,28800,Denpasar,-8.652497,115.219117,27.2,27.2,27.2,1007.1,,,79,6.2,250,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-12-02 16:00:00,2002,12
1038823200,28800,Denpasar,-8.652497,115.219117,26.21,26.21,26.21,1008.0,,,86,6.8,262,0.75,,,,,,,,,,,,100,500,Rain,light rain,10d,2002-12-02 17:00:00,2002,12
1038826800,28800,Denpasar,-8.652497,115.219117,26.52,26.52,26.52,1008.0,,,84,6.34,258,0.53,,,,,,,,,,,,100,500,Rain,light rain,10n,2002-12-02 18:00:00,2002,12
