index,dt,datetime,timezone,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,snow_1h,snow_3h,snow_6h,snow_12h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
94500,1096563600,2004-10-01 00:00:00,28800,Denpasar,-8.652497,115.219117,25.0,25.0,25.0,1011.9,,,94,4.37,112,,,,,,,,,,,,,20,801,Clouds,few clouds,02n
94501,1096567200,2004-10-01 01:00:00,28800,Denpasar,-8.652497,115.219117,24.6,24.6,24.6,1011.9,,,96,4.54,114,,,,,,,,,,,,,20,801,Clouds,few clouds,02n
94502,1096570800,2004-10-01 02:00:00,28800,Denpasar,-8.652497,115.219117,24.6,24.6,24.6,1011.9,,,96,4.68,115,,,,,,,,,,,,,20,801,Clouds,few clouds,02n
94503,1096574400,2004-10-01 03:00:00,28800,Denpasar,-8.652497,115.219117,25.2,25.2,25.2,1011.9,,,94,4.81,113,,,,,,,,,,,,,20,801,Clouds,few clouds,02n
94504,1096578000,2004-10-01 04:00:00,28800,Denpasar,-8.652497,115.219117,25.71,25.71,25.71,1012.0,,,86,5.03,109,0.15,,,,,,,,,,,,28,500,Rain,light rain,10n
94505,1096581600,2004-10-01 05:00:00,28800,Denpasar,-8.652497,115.219117,25.0,25.0,25.0,1011.9,,,88,4.75,98,,,,,,,,,,,,,20,801,Clouds,few clouds,02n
94506,1096585200,2004-10-01 06:00:00,28800,Denpasar,-8.652497,115.219117,25.96,25.96,25.96,1012.0,,,84,4.95,100,,,,,,,,,,,,,28,802,Clouds,scattered clouds,03d
94507,1096588800,2004-10-01 07:00:00,28800,Denpasar,-8.652497,115.219117,27.6,27.6,27.6,1012.9,,,80,3.1,100,,,,,,,,,,,,,20,801,Clouds,few clouds,02d
94508,1096592400,2004-10-01 08:00:00,28800,Denpasar,-8.652497,115.219117,26.44,26.44,26.44,1013.0,,,82,5.54,106,,,,,,,,,,,,,15,801,Clouds,few clouds,02d
94509,1096596000,2004-10-01 09:00:00,28800,Denpasar,-8.652497,115.219117,26.57,26.57,26.57,1013.0,,,82,5.31,112,,,,,,,,,,,,,10,800,Clear,sky is clear,01d
94510,1096599600,2004-10-01 10:00:00,28800,Denpasar,-8.652497,115.219117,30.5,30.5,30.5,1011.6,,,68,4.1,90,,,,,,,,,,,,,20,801,Clouds,few clouds,02d
94511,1096603200,2004-10-01 11:00:00,28800,Denpasar,-8.652497,115.219117,31.0,31.0,31.0,1011.9,,,62,3.6,120,,,,,,,,,,,,,20,801,Clouds,few clouds,02d
94512,1096606800,2004-10-01 12:00:00,28800,Denpasar,-8.652497,115.219117,31.0,31.0,31.0,1010.8,,,62,4.1,120,,,,,,,,,,,,,20,801,Clouds,few clouds,02d
94513,1096610400,2004-10-01 13:00:00,28800,Denpasar,-8.652497,115.219117,30.8,30.8,30.8,1009.4,,,66,4.1,120,,,,,,,,,,,,,5,800,Clear,sky is clear,01d
94514,1096614000,2004-10-01 14:00:00,28800,Denpasar,-8.652497,115.219117,31.0,31.0,31.0,1009.1,,,58,4.1,120,,,,,,,,,,,,,20,801,Clouds,few clouds,02d
94515,1096617600,2004-10-01 15:00:00,28800,Denpasar,-8.652497,115.219117,31.0,31.0,31.0,1009.1,,,58,3.6,110,,,,,,,,,,,,,20,801,Clouds,few clouds,02d
94516,1096621200,2004-10-01 16:00:00,28800,Denpasar,-8.652497,115.219117,28.2,28.2,28.2,1009.1,,,80,3.1,120,,,,,,,,,,,,,20,801,Clouds,few clouds,02d
