index,dt,datetime,timezone,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,snow_1h,snow_3h,snow_6h,snow_12h,snow_24h,snow_today,clouds_all,weather_id
49766,936118800,1999-09-01 00:00:00,28800,Denpasar,-8.652497,115.219117,24.59,24.59,24.59,1011.0,,,89,2.77,97,,,,,,,,,,,,,100,804
49767,936122400,1999-09-01 01:00:00,28800,Denpasar,-8.652497,115.219117,25.0,25.0,25.0,1010.2,,,88,2.1,110,,,,,,,,,,,,,20,801
49768,936126000,1999-09-01 02:00:00,28800,Denpasar,-8.652497,115.219117,25.0,25.0,25.0,1010.2,,,88,2.1,110,,,,,,,,,,,,,20,801
49769,936129600,1999-09-01 03:00:00,28800,Denpasar,-8.652497,115.219117,23.8,23.8,23.8,1010.3,,,93,2.91,120,,,0.0,,,,,,,,,,20,801
49770,936133200,1999-09-01 04:00:00,28800,Denpasar,-8.652497,115.219117,24.63,24.63,24.63,1010.0,,,90,3.11,119,,,,,,,,,,,,,92,804
49771,936136800,1999-09-01 05:00:00,28800,Denpasar,-8.652497,115.219117,23.0,23.0,23.0,1010.8,,,94,2.53,119,,,,,,,,,,,,,20,801
49772,936140400,1999-09-01 06:00:00,28800,Denpasar,-8.652497,115.219117,24.8,24.8,24.8,1011.0,,,88,2.21,123,,,,,,,,,,,,,99,804
49773,936144000,1999-09-01 07:00:00,28800,Denpasar,-8.652497,115.219117,24.94,24.94,24.94,1012.0,,,87,2.26,121,,,,,,,,,,,,,20,801
49774,936147600,1999-09-01 08:00:00,28800,Denpasar,-8.652497,115.219117,26.0,26.0,26.0,1012.9,,,83,2.6,300,,,,,,,,,,,,,20,801
49775,936151200,1999-09-01 09:00:00,28800,Denpasar,-8.652497,115.219117,27.0,27.0,27.0,1012.9,,,78,2.6,260,,,,,,,,,,,,,20,801
49776,936154800,1999-09-01 10:00:00,28800,Denpasar,-8.652497,115.219117,27.4,27.4,27.4,1012.5,,,75,2.6,250,,,0.0,,,,,,,,,,40,802
49777,936158400,1999-09-01 11:00:00,28800,Denpasar,-8.652497,115.219117,27.0,27.0,27.0,1011.9,,,78,3.6,250,,,,,,,,,,,,,20,801
49778,936162000,1999-09-01 12:00:00,28800,Denpasar,-8.652497,115.219117,28.0,28.0,28.0,1010.8,,,74,3.1,80,,,,,,,,,,,,,20,801
49779,936165600,1999-09-01 13:00:00,28800,Denpasar,-8.652497,115.219117,28.4,28.4,28.4,1010.2,,,71,3.1,260,,,0.0,,,,,,,,,,20,801
49780,936169200,1999-09-01 14:00:00,28800,Denpasar,-8.652497,115.219117,28.0,28.0,28.0,1010.2,,,69,3.1,110,,,,,,,,,,,,,20,801
49781,936172800,1999-09-01 15:00:00,28800,Denpasar,-8.652497,115.219117,28.0,28.0,28.0,1009.1,,,74,3.1,120,,,,,,,,,,,,,20,801
49782,936176400,1999-09-01 16:00:00,28800,Denpasar,-8.652497,115.219117,28.0,28.0,28.0,1009.1,,,70,2.6,120,,,0.0,,,,,,,,,,20,801
