,dt,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,clouds_all,weather_id,datetime,year
35129,883587600,24.0,24.0,24.0,1010.2,,,94,4.96,246,,,,,,,20,801,1998-01-01 00:00:00,1998
35130,883591200,24.0,24.0,24.0,1010.2,,,94,5.29,249,,,,,,,20,801,1998-01-01 01:00:00,1998
35131,883594800,26.99,26.99,26.99,1010.0,,,75,5.23,250,0.22,,,,,,100,500,1998-01-01 02:00:00,1998
35132,883598400,26.7,26.7,26.7,1009.3,,,80,4.96,253,,,0.0,,,,40,802,1998-01-01 03:00:00,1998
35133,883602000,26.83,26.83,26.83,1010.0,,,76,5.01,254,0.17,,,,,,98,500,1998-01-01 04:00:00,1998
35134,883605600,26.7,26.7,26.7,1010.2,,,80,3.71,265,,,0.0,,,,20,801,1998-01-01 05:00:00,1998
35135,883609200,26.0,26.0,26.0,1010.2,,,94,3.9,258,,,,,,,20,801,1998-01-01 06:00:00,1998
35136,883612800,27.8,27.8,27.8,1010.3,,,77,2.6,240,,,0.0,,,,40,802,1998-01-01 07:00:00,1998
35137,883616400,29.0,29.0,29.0,1010.2,,,74,3.6,250,,,,,,,20,801,1998-01-01 08:00:00,1998
35138,883620000,29.0,29.0,29.0,1010.2,,,74,4.1,260,,,,,,,20,801,1998-01-01 09:00:00,1998
35139,883623600,30.0,30.0,30.0,1010.2,,,70,4.6,260,,,,,,,20,801,1998-01-01 10:00:00,1998
35140,883627200,31.3,31.3,31.3,1009.8,,,59,4.6,260,,,0.0,,,,20,801,1998-01-01 11:00:00,1998
35141,883630800,31.0,31.0,31.0,1009.1,,,70,4.1,250,,,,,,,20,801,1998-01-01 12:00:00,1998
35142,883634400,31.0,31.0,31.0,1009.1,,,70,4.6,240,,,,,,,20,801,1998-01-01 13:00:00,1998
35143,883638000,31.0,31.0,31.0,1009.1,,,70,4.6,240,,,,,,,20,801,1998-01-01 14:00:00,1998
35144,883641600,30.0,30.0,30.0,1008.1,,,66,3.6,250,,,,,,,20,801,1998-01-01 15:00:00,1998
35145,883645200,27.83,27.83,27.83,1008.0,,,74,6.7,239,,,,,,,32,802,1998-01-01 16:00:00,1998
35146,883648800,31.8,31.8,31.8,1008.5,,,56,3.6,250,,,0.0,,,,20,801,1998-01-01 17:00:00,1998
35147,883652400,27.92,27.92,27.92,1009.0,,,73,4.79,223,,,,,,,91,804,1998-01-01 18:00:00,1998
35148,883656000,25.0,25.0,25.0,1010.2,,,94,1.0,360,,,,,,,75,501,1998-01-01 19:00:00,1998
35149,883659600,25.0,25.0,25.0,1010.2,,,94,1.0,360,,,,,,,75,501,1998-01-01 20:00:00,1998
35150,883663200,27.98,27.98,27.98,1011.0,,,72,4.19,250,,,,,,,93,804,1998-01-01 21:00:00,1998
35151,883666800,25.2,25.2,25.2,1009.9,,,91,4.53,265,,,,,,,20,801,1998-01-01 22:00:00,1998
35152,883670400,27.78,27.78,27.78,1010.0,,,73,5.03,272,,,,,,,80,803,1998-01-01 23:00:00,1998
35153,883674000,27.0,27.0,27.0,1008.1,,,83,2.6,260,,,,,,,75,803,1998-01-02 00:00:00,1998
35154,883677600,27.0,27.0,27.0,1008.1,,,83,2.6,260,,,,,,,75,803,1998-01-02 01:00:00,1998
