dt,timezone,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,snow_1h,snow_3h,snow_6h,snow_12h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon,datetime,year,month
1541005200,28800,Denpasar,-8.652497,115.219117,26.04,26.0,26.1,1009.0,,,94,1.5,230,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-11-01 00:00:00,2018,11
1541008800,28800,Denpasar,-8.652497,115.219117,26.03,26.0,26.1,1009.0,,,88,2.1,310,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-11-01 01:00:00,2018,11
1541012400,28800,Denpasar,-8.652497,115.219117,26.04,26.0,26.1,1008.0,,,88,3.1,340,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-11-01 02:00:00,2018,11
1541016000,28800,Denpasar,-8.652497,115.219117,24.81,24.5,25.0,1008.0,,,83,2.6,340,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-11-01 03:00:00,2018,11
1541019600,28800,Denpasar,-8.652497,115.219117,24.84,24.5,25.0,1008.5,,,83,1.0,290,,,,,,,,,,,,,43,802,Clouds,scattered clouds,03n,2018-11-01 04:00:00,2018,11
1541023200,28800,Denpasar,-8.652497,115.219117,24.81,24.5,25.0,1009.0,,,78,2.1,360,,,,,,,,,,,,,1,800,Clear,sky is clear,01d,2018-11-01 05:00:00,2018,11
1541026800,28800,Denpasar,-8.652497,115.219117,26.83,26.0,28.2,1010.0,,,73,0.5,0,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2018-11-01 06:00:00,2018,11
1541030400,28800,Denpasar,-8.652497,115.219117,28.06,28.0,28.2,1010.9,,,75,1.5,270,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2018-11-01 07:00:00,2018,11
1541034000,28800,Denpasar,-8.652497,115.219117,28.08,28.0,28.2,1011.0,,,78,3.1,320,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2018-11-01 08:00:00,2018,11
1541037600,28800,Denpasar,-8.652497,115.219117,28.41,28.0,29.1,1011.0,,,78,3.1,300,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2018-11-01 09:00:00,2018,11
1541041200,28800,Denpasar,-8.652497,115.219117,29.03,29.0,29.1,1010.0,,,70,4.1,250,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2018-11-01 10:00:00,2018,11
1541044800,28800,Denpasar,-8.652497,115.219117,30.28,29.1,31.0,1010.0,,,66,4.1,260,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2018-11-01 11:00:00,2018,11
1541048400,28800,Denpasar,-8.652497,115.219117,30.23,30.0,30.6,1008.0,,,70,4.6,250,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2018-11-01 12:00:00,2018,11
1541052000,28800,Denpasar,-8.652497,115.219117,30.87,30.6,31.0,1008.0,,,62,5.1,270,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2018-11-01 13:00:00,2018,11
1541055600,28800,Denpasar,-8.652497,115.219117,30.85,30.6,31.0,1007.0,,,66,5.7,260,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2018-11-01 14:00:00,2018,11
1541059200,28800,Denpasar,-8.652497,115.219117,29.74,29.3,30.0,1007.0,,,70,5.7,260,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2018-11-01 15:00:00,2018,11
1541062800,28800,Denpasar,-8.652497,115.219117,29.1,29.0,29.3,1007.0,,,74,5.7,260,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2018-11-01 16:00:00,2018,11
1541066400,28800,Denpasar,-8.652497,115.219117,28.49,28.0,29.3,1007.0,,,78,3.6,260,,,,,,,,,,,,,1,800,Clear,sky is clear,01d,2018-11-01 17:00:00,2018,11
1541070000,28800,Denpasar,-8.652497,115.219117,27.77,27.4,28.0,1008.0,,,74,1.0,0,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-11-01 18:00:00,2018,11
1541073600,28800,Denpasar,-8.652497,115.219117,27.48,27.0,28.0,1010.0,,,83,1.0,0,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-11-01 19:00:00,2018,11
1541077200,28800,Denpasar,-8.652497,115.219117,27.15,27.0,27.4,1010.0,,,83,0.5,0,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-11-01 20:00:00,2018,11
1541080800,28800,Denpasar,-8.652497,115.219117,26.92,26.8,27.0,1010.0,,,83,0.5,0,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2018-11-01 21:00:00,2018,11
1541084400,28800,Denpasar,-8.652497,115.219117,26.93,26.8,27.0,1010.0,,,83,0.5,0,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-11-01 22:00:00,2018,11
1541088000,28800,Denpasar,-8.652497,115.219117,26.3,26.0,26.8,1010.0,,,88,1.5,340,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2018-11-01 23:00:00,2018,11
1541091600,28800,Denpasar,-8.652497,115.219117,26.85,26.6,27.0,1010.0,,,83,1.5,320,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2018-11-02 00:00:00,2018,11
1541095200,28800,Denpasar,-8.652497,115.219117,26.87,26.6,27.0,1009.0,,,83,2.1,310,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2018-11-02 01:00:00,2018,11
1541098800,28800,Denpasar,-8.652497,115.219117,26.85,26.6,27.0,1009.0,,,83,2.1,330,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-11-02 02:00:00,2018,11
1541102400,28800,Denpasar,-8.652497,115.219117,25.77,25.4,26.0,1009.0,,,88,2.1,330,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-11-02 03:00:00,2018,11
1541106000,28800,Denpasar,-8.652497,115.219117,25.13,25.0,25.4,1010.0,,,88,1.0,310,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2018-11-02 04:00:00,2018,11
1541109600,28800,Denpasar,-8.652497,115.219117,25.15,25.0,25.4,1010.0,,,88,2.1,340,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2018-11-02 05:00:00,2018,11
