dt,timezone,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,snow_1h,snow_3h,snow_6h,snow_12h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon,datetime,year,month
1538326800,28800,Denpasar,-8.652497,115.219117,24.78,24.4,25.0,1012.0,,,88,1.0,0,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-10-01 00:00:00,2018,10
1538330400,28800,Denpasar,-8.652497,115.219117,24.13,24.0,24.4,1011.0,,,94,1.0,160,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-10-01 01:00:00,2018,10
1538334000,28800,Denpasar,-8.652497,115.219117,24.13,24.0,24.4,1011.0,,,94,1.0,160,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-10-01 02:00:00,2018,10
1538337600,28800,Denpasar,-8.652497,115.219117,23.6,23.6,23.6,1011.8,,,91,1.0,170,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2018-10-01 03:00:00,2018,10
1538341200,28800,Denpasar,-8.652497,115.219117,23.17,23.0,23.6,1011.8,,,91,1.0,170,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2018-10-01 04:00:00,2018,10
1538344800,28800,Denpasar,-8.652497,115.219117,23.6,23.6,23.6,1011.8,,,91,1.0,170,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2018-10-01 05:00:00,2018,10
1538348400,28800,Denpasar,-8.652497,115.219117,25.09,24.0,26.9,1013.0,,,88,1.5,360,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2018-10-01 06:00:00,2018,10
1538352000,28800,Denpasar,-8.652497,115.219117,26.97,26.9,27.0,1014.0,,,74,2.6,70,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2018-10-01 07:00:00,2018,10
1538355600,28800,Denpasar,-8.652497,115.219117,27.59,26.9,28.0,1014.0,,,69,3.1,110,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2018-10-01 08:00:00,2018,10
1538359200,28800,Denpasar,-8.652497,115.219117,29.11,29.0,29.3,1014.0,,,66,3.6,110,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2018-10-01 09:00:00,2018,10
1538362800,28800,Denpasar,-8.652497,115.219117,29.1,29.0,29.3,1013.0,,,66,4.6,110,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2018-10-01 10:00:00,2018,10
1538366400,28800,Denpasar,-8.652497,115.219117,29.11,29.0,29.3,1012.0,,,66,5.1,90,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2018-10-01 11:00:00,2018,10
1538370000,28800,Denpasar,-8.652497,115.219117,29.62,29.0,30.0,1011.0,,,62,6.2,100,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2018-10-01 12:00:00,2018,10
1538373600,28800,Denpasar,-8.652497,115.219117,29.71,29.0,31.0,1010.0,,,66,4.6,140,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2018-10-01 13:00:00,2018,10
1538377200,28800,Denpasar,-8.652497,115.219117,29.62,29.0,30.0,1010.0,,,62,5.1,150,,,,,,,,,,,,,1,800,Clear,sky is clear,01d,2018-10-01 14:00:00,2018,10
1538380800,28800,Denpasar,-8.652497,115.219117,28.7,28.2,29.0,1009.0,,,66,5.1,160,,,,,,,,,,,,,1,800,Clear,sky is clear,01d,2018-10-01 15:00:00,2018,10
1538384400,28800,Denpasar,-8.652497,115.219117,28.07,28.0,28.2,1010.0,,,69,5.1,150,,,,,,,,,,,,,1,800,Clear,sky is clear,01d,2018-10-01 16:00:00,2018,10
1538388000,28800,Denpasar,-8.652497,115.219117,27.78,27.0,28.2,1010.0,,,74,5.1,150,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2018-10-01 17:00:00,2018,10
1538391600,28800,Denpasar,-8.652497,115.219117,26.0,26.0,26.0,1011.0,,,78,3.6,140,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-10-01 18:00:00,2018,10
1538395200,28800,Denpasar,-8.652497,115.219117,26.0,26.0,26.0,1012.0,,,83,3.1,150,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-10-01 19:00:00,2018,10
1538398800,28800,Denpasar,-8.652497,115.219117,26.0,26.0,26.0,1012.0,,,83,2.1,130,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-10-01 20:00:00,2018,10
1538402400,28800,Denpasar,-8.652497,115.219117,25.92,25.8,26.0,1013.0,,,83,4.6,140,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-10-01 21:00:00,2018,10
1538406000,28800,Denpasar,-8.652497,115.219117,25.93,25.8,26.0,1013.0,,,83,2.1,140,,,,,,,,,,,,,1,800,Clear,sky is clear,01n,2018-10-01 22:00:00,2018,10
1538409600,28800,Denpasar,-8.652497,115.219117,25.3,25.0,25.8,1012.0,,,88,0.5,0,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-10-01 23:00:00,2018,10
1538413200,28800,Denpasar,-8.652497,115.219117,24.89,24.7,25.0,1012.0,,,88,1.0,160,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-10-02 00:00:00,2018,10
1538416800,28800,Denpasar,-8.652497,115.219117,24.9,24.7,25.0,1012.0,,,88,1.0,80,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2018-10-02 01:00:00,2018,10
1538420400,28800,Denpasar,-8.652497,115.219117,24.89,24.7,25.0,1011.0,,,88,0.5,0,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2018-10-02 02:00:00,2018,10
1538424000,28800,Denpasar,-8.652497,115.219117,24.0,24.0,24.0,1011.0,,,94,0.5,230,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-10-02 03:00:00,2018,10
1538427600,28800,Denpasar,-8.652497,115.219117,24.0,24.0,24.0,1012.0,,,88,1.0,220,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-10-02 04:00:00,2018,10
1538431200,28800,Denpasar,-8.652497,115.219117,24.0,24.0,24.0,1013.0,,,94,1.0,230,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-10-02 05:00:00,2018,10
1538434800,28800,Denpasar,-8.652497,115.219117,25.94,25.0,27.5,1013.0,,,88,1.0,0,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2018-10-02 06:00:00,2018,10
1538438400,28800,Denpasar,-8.652497,115.219117,27.17,27.0,27.5,1014.0,,,78,1.0,0,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2018-10-02 07:00:00,2018,10
1538442000,28800,Denpasar,-8.652497,115.219117,27.81,27.5,28.0,1014.0,,,69,2.6,110,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2018-10-02 08:00:00,2018,10
1538445600,28800,Denpasar,-8.652497,115.219117,29.92,29.8,30.0,1014.0,,,62,3.6,100,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2018-10-02 09:00:00,2018,10
1538449200,28800,Denpasar,-8.652497,115.219117,29.93,29.8,30.0,1013.0,,,62,4.6,110,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2018-10-02 10:00:00,2018,10
1538452800,28800,Denpasar,-8.652497,115.219117,29.92,29.8,30.0,1012.0,,,62,5.7,120,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2018-10-02 11:00:00,2018,10
1538456400,28800,Denpasar,-8.652497,115.219117,30.04,30.0,30.1,1011.0,,,62,6.2,140,,,,,,,,,,,,,1,800,Clear,sky is clear,01d,2018-10-02 12:00:00,2018,10
1538460000,28800,Denpasar,-8.652497,115.219117,30.03,30.0,30.1,1010.0,,,66,5.7,150,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2018-10-02 13:00:00,2018,10
1538463600,28800,Denpasar,-8.652497,115.219117,29.41,29.0,30.1,1010.0,,,70,5.1,180,,,,,,,,,,,,,75,803,Clouds,broken clouds,04d,2018-10-02 14:00:00,2018,10
1538467200,28800,Denpasar,-8.652497,115.219117,28.7,28.2,29.0,1010.0,,,66,5.7,170,,,,,,,,,,,,,75,803,Clouds,broken clouds,04d,2018-10-02 15:00:00,2018,10
1538470800,28800,Denpasar,-8.652497,115.219117,28.07,28.0,28.2,1010.0,,,69,5.7,150,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2018-10-02 16:00:00,2018,10
1538474400,28800,Denpasar,-8.652497,115.219117,28.08,28.0,28.2,1011.0,,,74,5.7,150,,,,,,,,,,,,,75,803,Clouds,broken clouds,04d,2018-10-02 17:00:00,2018,10
1538478000,28800,Denpasar,-8.652497,115.219117,26.89,26.7,27.0,1011.0,,,78,4.1,170,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-10-02 18:00:00,2018,10
1538481600,28800,Denpasar,-8.652497,115.219117,26.9,26.7,27.0,1012.0,,,78,3.6,150,,,,,,,,,,,,,75,803,Clouds,broken clouds,04n,2018-10-02 19:00:00,2018,10
1538485200,28800,Denpasar,-8.652497,115.219117,26.89,26.7,27.0,1012.0,,,78,4.6,170,,,,,,,,,,,,,75,803,Clouds,broken clouds,04n,2018-10-02 20:00:00,2018,10
1538488800,28800,Denpasar,-8.652497,115.219117,26.08,26.0,26.2,1012.0,,,83,5.1,150,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2018-10-02 21:00:00,2018,10
1538492400,28800,Denpasar,-8.652497,115.219117,26.07,26.0,26.2,1012.0,,,83,5.7,140,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2018-10-02 22:00:00,2018,10
1538496000,28800,Denpasar,-8.652497,115.219117,26.08,26.0,26.2,1011.0,,,83,6.2,150,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-10-02 23:00:00,2018,10
1538499600,28800,Denpasar,-8.652497,115.219117,25.96,25.9,26.0,1011.0,,,83,4.1,150,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2018-10-03 00:00:00,2018,10
