index,dt,datetime,timezone,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,snow_1h,snow_3h,snow_6h,snow_12h,snow_24h,snow_today,clouds_all,weather_id
16791,817750800,1995-12-01 00:00:00,28800,Denpasar,-8.652497,115.219117,26.55,26.55,26.55,1010.0,,,85,2.65,240,,,,,,,,,,,,,71,803
16792,817754400,1995-12-01 01:00:00,28800,Denpasar,-8.652497,115.219117,26.47,26.47,26.47,1009.0,,,85,2.69,245,,,,,,,,,,,,,75,803
16793,817758000,1995-12-01 02:00:00,28800,Denpasar,-8.652497,115.219117,26.41,26.41,26.41,1009.0,,,86,2.31,240,,,,,,,,,,,,,93,804
16794,817761600,1995-12-01 03:00:00,28800,Denpasar,-8.652497,115.219117,26.35,26.35,26.35,1009.0,,,86,1.94,236,,,,,,,,,,,,,98,804
16795,817765200,1995-12-01 04:00:00,28800,Denpasar,-8.652497,115.219117,26.24,26.24,26.24,1009.0,,,87,1.37,240,0.31,,,,,,,,,,,,88,500
16796,817768800,1995-12-01 05:00:00,28800,Denpasar,-8.652497,115.219117,26.19,26.19,26.19,1009.0,,,86,1.23,206,0.16,,,,,,,,,,,,90,500
16797,817772400,1995-12-01 06:00:00,28800,Denpasar,-8.652497,115.219117,26.06,26.06,26.06,1009.0,,,87,0.83,187,0.16,,,,,,,,,,,,80,500
16798,817776000,1995-12-01 07:00:00,28800,Denpasar,-8.652497,115.219117,26.17,26.17,26.17,1010.0,,,86,0.36,193,,,,,,,,,,,,,87,804
16799,817779600,1995-12-01 08:00:00,28800,Denpasar,-8.652497,115.219117,26.32,26.32,26.32,1011.0,,,85,0.1,158,,,,,,,,,,,,,70,803
16800,817783200,1995-12-01 09:00:00,28800,Denpasar,-8.652497,115.219117,26.5,26.5,26.5,1011.0,,,85,0.32,230,,,,,,,,,,,,,58,803
