dt,timezone,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,snow_1h,snow_3h,snow_6h,snow_12h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon,datetime,year,month
1096563600,28800,Denpasar,-8.652497,115.219117,25.0,25.0,25.0,1011.9,,,94,4.37,112,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2004-10-01 00:00:00,2004,10
1096567200,28800,Denpasar,-8.652497,115.219117,24.6,24.6,24.6,1011.9,,,96,4.54,114,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2004-10-01 01:00:00,2004,10
1096570800,28800,Denpasar,-8.652497,115.219117,24.6,24.6,24.6,1011.9,,,96,4.68,115,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2004-10-01 02:00:00,2004,10
1096574400,28800,Denpasar,-8.652497,115.219117,25.2,25.2,25.2,1011.9,,,94,4.81,113,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2004-10-01 03:00:00,2004,10
1096578000,28800,Denpasar,-8.652497,115.219117,25.71,25.71,25.71,1012.0,,,86,5.03,109,0.15,,,,,,,,,,,,28,500,Rain,light rain,10n,2004-10-01 04:00:00,2004,10
1096581600,28800,Denpasar,-8.652497,115.219117,25.0,25.0,25.0,1011.9,,,88,4.75,98,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2004-10-01 05:00:00,2004,10
1096585200,28800,Denpasar,-8.652497,115.219117,25.96,25.96,25.96,1012.0,,,84,4.95,100,,,,,,,,,,,,,28,802,Clouds,scattered clouds,03d,2004-10-01 06:00:00,2004,10
1096588800,28800,Denpasar,-8.652497,115.219117,27.6,27.6,27.6,1012.9,,,80,3.1,100,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-01 07:00:00,2004,10
1096592400,28800,Denpasar,-8.652497,115.219117,26.44,26.44,26.44,1013.0,,,82,5.54,106,,,,,,,,,,,,,15,801,Clouds,few clouds,02d,2004-10-01 08:00:00,2004,10
1096596000,28800,Denpasar,-8.652497,115.219117,26.57,26.57,26.57,1013.0,,,82,5.31,112,,,,,,,,,,,,,10,800,Clear,sky is clear,01d,2004-10-01 09:00:00,2004,10
1096599600,28800,Denpasar,-8.652497,115.219117,30.5,30.5,30.5,1011.6,,,68,4.1,90,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-01 10:00:00,2004,10
1096603200,28800,Denpasar,-8.652497,115.219117,31.0,31.0,31.0,1011.9,,,62,3.6,120,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-01 11:00:00,2004,10
1096606800,28800,Denpasar,-8.652497,115.219117,31.0,31.0,31.0,1010.8,,,62,4.1,120,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-01 12:00:00,2004,10
1096610400,28800,Denpasar,-8.652497,115.219117,30.8,30.8,30.8,1009.4,,,66,4.1,120,,,,,,,,,,,,,5,800,Clear,sky is clear,01d,2004-10-01 13:00:00,2004,10
1096614000,28800,Denpasar,-8.652497,115.219117,31.0,31.0,31.0,1009.1,,,58,4.1,120,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-01 14:00:00,2004,10
1096617600,28800,Denpasar,-8.652497,115.219117,31.0,31.0,31.0,1009.1,,,58,3.6,110,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-01 15:00:00,2004,10
1096621200,28800,Denpasar,-8.652497,115.219117,28.2,28.2,28.2,1009.1,,,80,3.1,120,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-01 16:00:00,2004,10
1096624800,28800,Denpasar,-8.652497,115.219117,28.0,28.0,28.0,1010.2,,,69,2.6,130,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-01 17:00:00,2004,10
1096628400,28800,Denpasar,-8.652497,115.219117,27.0,27.0,27.0,1010.2,,,78,2.1,120,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2004-10-01 18:00:00,2004,10
1096632000,28800,Denpasar,-8.652497,115.219117,27.0,27.0,27.0,1010.8,,,85,2.1,110,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2004-10-01 19:00:00,2004,10
1096635600,28800,Denpasar,-8.652497,115.219117,27.0,27.0,27.0,1011.9,,,83,2.1,110,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2004-10-01 20:00:00,2004,10
1096639200,28800,Denpasar,-8.652497,115.219117,26.03,26.03,26.03,1012.0,,,88,4.3,121,,,,,,,,,,,,,37,802,Clouds,scattered clouds,03n,2004-10-01 21:00:00,2004,10
1096642800,28800,Denpasar,-8.652497,115.219117,26.09,26.09,26.09,1013.0,,,87,4.23,121,,,,,,,,,,,,,49,802,Clouds,scattered clouds,03n,2004-10-01 22:00:00,2004,10
1096646400,28800,Denpasar,-8.652497,115.219117,26.0,26.0,26.0,1011.9,,,88,4.05,121,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2004-10-01 23:00:00,2004,10
1096650000,28800,Denpasar,-8.652497,115.219117,26.0,26.0,26.0,1011.9,,,88,2.1,90,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2004-10-02 00:00:00,2004,10
1096653600,28800,Denpasar,-8.652497,115.219117,25.6,25.6,25.6,1010.8,,,93,3.46,116,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2004-10-02 01:00:00,2004,10
1096657200,28800,Denpasar,-8.652497,115.219117,25.6,25.6,25.6,1010.8,,,93,3.41,116,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2004-10-02 02:00:00,2004,10
1096660800,28800,Denpasar,-8.652497,115.219117,25.1,25.1,25.1,1010.8,,,94,3.31,116,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2004-10-02 03:00:00,2004,10
1096664400,28800,Denpasar,-8.652497,115.219117,25.97,25.97,25.97,1011.0,,,84,3.32,118,,,,,,,,,,,,,25,802,Clouds,scattered clouds,03n,2004-10-02 04:00:00,2004,10
1096668000,28800,Denpasar,-8.652497,115.219117,25.0,25.0,25.0,1010.8,,,94,3.02,110,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2004-10-02 05:00:00,2004,10
1096671600,28800,Denpasar,-8.652497,115.219117,25.0,25.0,25.0,1011.9,,,94,3.15,116,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-02 06:00:00,2004,10
1096675200,28800,Denpasar,-8.652497,115.219117,27.0,27.0,27.0,1011.9,,,85,3.29,121,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-02 07:00:00,2004,10
1096678800,28800,Denpasar,-8.652497,115.219117,30.0,30.0,30.0,1011.9,,,62,2.6,70,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-02 08:00:00,2004,10
1096682400,28800,Denpasar,-8.652497,115.219117,31.0,31.0,31.0,1011.9,,,58,3.6,90,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-02 09:00:00,2004,10
1096686000,28800,Denpasar,-8.652497,115.219117,29.8,29.8,29.8,1011.9,,,69,4.1,90,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-02 10:00:00,2004,10
1096689600,28800,Denpasar,-8.652497,115.219117,31.0,31.0,31.0,1011.9,,,58,3.6,100,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-02 11:00:00,2004,10
1096693200,28800,Denpasar,-8.652497,115.219117,32.0,32.0,32.0,1010.2,,,49,4.1,110,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-02 12:00:00,2004,10
1096696800,28800,Denpasar,-8.652497,115.219117,32.0,32.0,32.0,1010.2,,,52,4.1,120,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-02 13:00:00,2004,10
1096700400,28800,Denpasar,-8.652497,115.219117,25.99,25.99,25.99,1010.0,,,86,4.3,173,,,,,,,,,,,,,93,804,Clouds,overcast clouds,04d,2004-10-02 14:00:00,2004,10
1096704000,28800,Denpasar,-8.652497,115.219117,26.02,26.02,26.02,1009.0,,,86,4.25,173,,,,,,,,,,,,,85,804,Clouds,overcast clouds,04d,2004-10-02 15:00:00,2004,10
1096707600,28800,Denpasar,-8.652497,115.219117,29.6,29.6,29.6,1009.1,,,69,2.6,150,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-02 16:00:00,2004,10
1096711200,28800,Denpasar,-8.652497,115.219117,29.6,29.6,29.6,1009.1,,,69,2.6,150,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-02 17:00:00,2004,10
1096714800,28800,Denpasar,-8.652497,115.219117,27.0,27.0,27.0,1010.8,,,87,2.35,172,,,,,,,,,,,,,75,803,Clouds,broken clouds,04n,2004-10-02 18:00:00,2004,10
1096718400,28800,Denpasar,-8.652497,115.219117,25.71,25.71,25.71,1011.0,,,88,1.85,156,,,,,,,,,,,,,73,803,Clouds,broken clouds,04n,2004-10-02 19:00:00,2004,10
1096722000,28800,Denpasar,-8.652497,115.219117,27.0,27.0,27.0,1010.8,,,78,1.5,180,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2004-10-02 20:00:00,2004,10
1096725600,28800,Denpasar,-8.652497,115.219117,26.0,26.0,26.0,1010.8,,,83,1.37,129,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2004-10-02 21:00:00,2004,10
1096729200,28800,Denpasar,-8.652497,115.219117,26.2,26.2,26.2,1010.8,,,89,0.97,120,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2004-10-02 22:00:00,2004,10
1096732800,28800,Denpasar,-8.652497,115.219117,26.2,26.2,26.2,1010.8,,,89,0.37,120,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2004-10-02 23:00:00,2004,10
1096736400,28800,Denpasar,-8.652497,115.219117,25.39,25.39,25.39,1011.0,,,87,0.15,89,,,,,,,,,,,,,28,802,Clouds,scattered clouds,03n,2004-10-03 00:00:00,2004,10
1096740000,28800,Denpasar,-8.652497,115.219117,25.3,25.3,25.3,1011.0,,,87,0.25,73,,,,,,,,,,,,,33,802,Clouds,scattered clouds,03n,2004-10-03 01:00:00,2004,10
1096743600,28800,Denpasar,-8.652497,115.219117,25.18,25.18,25.18,1010.0,,,87,0.36,88,,,,,,,,,,,,,69,803,Clouds,broken clouds,04n,2004-10-03 02:00:00,2004,10
1096747200,28800,Denpasar,-8.652497,115.219117,26.0,26.0,26.0,1010.4,,,91,0.66,116,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2004-10-03 03:00:00,2004,10
1096750800,28800,Denpasar,-8.652497,115.219117,25.01,25.01,25.01,1010.0,,,89,1.0,126,,,,,,,,,,,,,37,802,Clouds,scattered clouds,03n,2004-10-03 04:00:00,2004,10
1096754400,28800,Denpasar,-8.652497,115.219117,25.0,25.0,25.0,1010.2,,,94,0.86,111,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2004-10-03 05:00:00,2004,10
1096758000,28800,Denpasar,-8.652497,115.219117,25.0,25.0,25.0,1010.2,,,94,1.6,117,,,,,,,,,,,,,75,803,Clouds,broken clouds,04d,2004-10-03 06:00:00,2004,10
1096761600,28800,Denpasar,-8.652497,115.219117,27.0,27.0,27.0,1010.8,,,83,2.46,121,,,,,,,,,,,,,75,803,Clouds,broken clouds,04d,2004-10-03 07:00:00,2004,10
1096765200,28800,Denpasar,-8.652497,115.219117,30.0,30.0,30.0,1011.9,,,66,3.6,90,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-03 08:00:00,2004,10
1096768800,28800,Denpasar,-8.652497,115.219117,30.0,30.0,30.0,1010.8,,,62,3.1,100,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-03 09:00:00,2004,10
1096772400,28800,Denpasar,-8.652497,115.219117,29.5,29.5,29.5,1010.8,,,69,3.6,90,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-03 10:00:00,2004,10
1096776000,28800,Denpasar,-8.652497,115.219117,32.0,32.0,32.0,1010.2,,,59,4.1,100,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-03 11:00:00,2004,10
1096779600,28800,Denpasar,-8.652497,115.219117,32.0,32.0,32.0,1009.1,,,52,3.6,110,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-03 12:00:00,2004,10
1096783200,28800,Denpasar,-8.652497,115.219117,30.4,30.4,30.4,1009.1,,,65,4.1,110,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-03 13:00:00,2004,10
1096786800,28800,Denpasar,-8.652497,115.219117,32.0,32.0,32.0,1008.1,,,52,3.6,110,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-10-03 14:00:00,2004,10
