dt,timezone,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,snow_1h,snow_3h,snow_6h,snow_12h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon,datetime,year,month
1101834000,28800,Denpasar,-8.652497,115.219117,28.0,28.0,28.0,1005.9,,,81,5.7,250,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2004-12-01 00:00:00,2004,12
1101837600,28800,Denpasar,-8.652497,115.219117,28.0,28.0,28.0,1005.9,,,81,5.7,250,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2004-12-01 01:00:00,2004,12
1101841200,28800,Denpasar,-8.652497,115.219117,28.0,28.0,28.0,1005.9,,,81,5.7,250,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2004-12-01 02:00:00,2004,12
1101844800,28800,Denpasar,-8.652497,115.219117,27.6,27.6,27.6,1005.2,,,82,5.1,250,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2004-12-01 03:00:00,2004,12
1101848400,28800,Denpasar,-8.652497,115.219117,27.6,27.6,27.6,1005.2,,,82,5.1,250,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2004-12-01 04:00:00,2004,12
1101852000,28800,Denpasar,-8.652497,115.219117,27.6,27.6,27.6,1005.2,,,82,5.1,250,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-12-01 05:00:00,2004,12
1101855600,28800,Denpasar,-8.652497,115.219117,28.6,28.6,28.6,1006.0,,,77,5.7,270,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-12-01 06:00:00,2004,12
1101859200,28800,Denpasar,-8.652497,115.219117,28.6,28.6,28.6,1006.0,,,77,5.7,270,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-12-01 07:00:00,2004,12
1101862800,28800,Denpasar,-8.652497,115.219117,28.6,28.6,28.6,1006.0,,,77,5.7,270,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-12-01 08:00:00,2004,12
1101866400,28800,Denpasar,-8.652497,115.219117,30.2,30.2,30.2,1006.1,,,74,5.7,260,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-12-01 09:00:00,2004,12
1101870000,28800,Denpasar,-8.652497,115.219117,30.2,30.2,30.2,1006.1,,,74,5.7,260,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-12-01 10:00:00,2004,12
1101873600,28800,Denpasar,-8.652497,115.219117,30.2,30.2,30.2,1006.1,,,74,5.7,260,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2004-12-01 11:00:00,2004,12
1101877200,28800,Denpasar,-8.652497,115.219117,30.4,30.4,30.4,1005.0,,,72,6.2,250,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2004-12-01 12:00:00,2004,12
1101880800,28800,Denpasar,-8.652497,115.219117,30.4,30.4,30.4,1005.0,,,72,6.2,250,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2004-12-01 13:00:00,2004,12
1101884400,28800,Denpasar,-8.652497,115.219117,30.4,30.4,30.4,1005.0,,,72,6.2,250,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2004-12-01 14:00:00,2004,12
1101888000,28800,Denpasar,-8.652497,115.219117,29.0,29.0,29.0,1004.8,,,80,4.6,250,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2004-12-01 15:00:00,2004,12
1101891600,28800,Denpasar,-8.652497,115.219117,29.0,29.0,29.0,1004.8,,,80,4.6,250,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2004-12-01 16:00:00,2004,12
