,dt,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,clouds_all,weather_id,datetime,year,month
217570,1535734800,24.77,24.4,25.0,1012.0,,,78,3.6,110,,,,,,,20,801,2018-09-01 00:00:00,2018,9
217571,1535738400,24.13,24.0,24.4,1011.0,,,83,2.6,90,,,,,,,20,801,2018-09-01 01:00:00,2018,9
217572,1535742000,24.15,24.0,24.4,1011.0,,,83,1.5,100,,,,,,,20,801,2018-09-01 02:00:00,2018,9
217573,1535745600,23.43,22.5,24.0,1011.0,,,83,3.1,90,,,,,,,20,801,2018-09-01 03:00:00,2018,9
217574,1535749200,22.83,22.5,23.0,1011.0,,,83,2.1,10,,,,,,,20,801,2018-09-01 04:00:00,2018,9
217575,1535752800,22.19,22.0,22.5,1011.0,,,88,1.0,40,,,,,,,20,801,2018-09-01 05:00:00,2018,9
217576,1535756400,22.79,22.0,24.1,1012.0,,,88,4.64,99,,,,,,,20,801,2018-09-01 06:00:00,2018,9
217577,1535760000,23.34,23.0,24.1,1012.5,,,77,0.5,330,,,,,,,20,801,2018-09-01 07:00:00,2018,9
217578,1535763600,25.28,24.1,26.0,1013.0,,,73,3.1,130,,,,,,,20,801,2018-09-01 08:00:00,2018,9
217579,1535767200,27.92,27.8,28.0,1013.0,,,65,3.6,100,,,,,,,40,802,2018-09-01 09:00:00,2018,9
217580,1535770800,27.93,27.8,28.0,1012.0,,,69,5.1,90,,,,,,,40,802,2018-09-01 10:00:00,2018,9
217581,1535774400,27.93,27.8,28.0,1012.0,,,65,4.6,120,,,,,,,40,802,2018-09-01 11:00:00,2018,9
217582,1535778000,28.11,28.0,28.3,1011.0,,,65,5.1,110,,,,,,,20,801,2018-09-01 12:00:00,2018,9
217583,1535781600,28.1,28.0,28.3,1010.0,,,69,5.7,100,,,,,,,20,801,2018-09-01 13:00:00,2018,9
217584,1535785200,28.11,28.0,28.3,1010.0,,,69,5.1,110,,,,,,,20,801,2018-09-01 14:00:00,2018,9
217585,1535788800,27.19,26.6,28.0,1009.0,,,74,5.7,110,,,,,,,1,800,2018-09-01 15:00:00,2018,9
217586,1535792400,26.87,26.6,27.0,1010.0,,,74,6.2,110,,,,,,,1,800,2018-09-01 16:00:00,2018,9
217587,1535796000,26.22,26.0,26.6,1010.0,,,78,5.7,110,,,,,,,20,801,2018-09-01 17:00:00,2018,9
217588,1535799600,25.74,25.3,26.0,1011.0,,,73,6.2,100,,,,,,,20,801,2018-09-01 18:00:00,2018,9
217589,1535803200,25.1,25.0,25.3,1011.0,,,83,4.6,100,,,,,,,20,801,2018-09-01 19:00:00,2018,9
217590,1535806800,25.11,25.0,25.3,1012.0,,,83,5.1,110,,,,,,,20,801,2018-09-01 20:00:00,2018,9
217591,1535810400,25.04,25.0,25.1,1012.0,,,83,5.1,110,,,,,,,20,801,2018-09-01 21:00:00,2018,9
217592,1535814000,25.03,25.0,25.1,1012.0,,,83,4.1,110,,,,,,,20,801,2018-09-01 22:00:00,2018,9
217593,1535817600,25.04,25.0,25.1,1012.0,,,83,3.6,100,,,,,,,20,801,2018-09-01 23:00:00,2018,9
217594,1535821200,24.92,24.8,25.0,1011.0,,,88,3.6,110,,,,,,,20,801,2018-09-02 00:00:00,2018,9
217595,1535824800,24.93,24.8,25.0,1011.0,,,88,2.6,110,,,,,,,1,800,2018-09-02 01:00:00,2018,9
217596,1535828400,24.92,24.8,25.0,1011.0,,,88,2.6,100,,,,,,,40,802,2018-09-02 02:00:00,2018,9
217597,1535832000,24.26,23.8,25.0,1011.0,,,83,1.5,20,,,,,,,40,802,2018-09-02 03:00:00,2018,9
217598,1535835600,23.94,23.8,24.0,1012.0,,,88,1.5,50,,,,,,,40,802,2018-09-02 04:00:00,2018,9
217599,1535839200,23.3,23.0,23.8,1012.0,,,88,0.5,20,,,,,,,40,802,2018-09-02 05:00:00,2018,9
217600,1535842800,24.09,23.0,25.9,1013.0,,,88,1.0,0,,,,,,,40,802,2018-09-02 06:00:00,2018,9
217601,1535846400,25.97,25.9,26.0,1014.0,,,78,3.1,110,,,,,,,40,802,2018-09-02 07:00:00,2018,9
217602,1535850000,25.96,25.9,26.0,1014.0,,,78,4.6,100,,,,,,,40,802,2018-09-02 08:00:00,2018,9
