dt,timezone,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,snow_1h,snow_3h,snow_6h,snow_12h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon,datetime,year,month
1283274000,28800,Denpasar,-8.652497,115.219117,24.88,24.8,25.0,1012.9,,,83,5.1,110,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2010-09-01 00:00:00,2010,9
1283277600,28800,Denpasar,-8.652497,115.219117,24.9,24.8,25.0,1012.9,,,83,5.1,100,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2010-09-01 01:00:00,2010,9
1283281200,28800,Denpasar,-8.652497,115.219117,24.88,24.8,25.0,1011.9,,,83,4.1,120,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2010-09-01 02:00:00,2010,9
1283284800,28800,Denpasar,-8.652497,115.219117,24.4,24.4,24.4,1012.5,,,81,3.6,120,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2010-09-01 03:00:00,2010,9
1283288400,28800,Denpasar,-8.652497,115.219117,24.4,24.4,24.4,1012.5,,,81,3.6,120,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2010-09-01 04:00:00,2010,9
1283292000,28800,Denpasar,-8.652497,115.219117,24.24,24.0,24.4,1012.9,,,83,2.6,120,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2010-09-01 05:00:00,2010,9
1283295600,28800,Denpasar,-8.652497,115.219117,23.61,23.0,24.0,1013.9,,,88,5.21,106,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2010-09-01 06:00:00,2010,9
1283299200,28800,Denpasar,-8.652497,115.219117,24.5,24.0,25.0,1013.9,,,78,2.1,60,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2010-09-01 07:00:00,2010,9
1283302800,28800,Denpasar,-8.652497,115.219117,24.0,24.0,24.0,1013.9,,,79,2.1,60,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2010-09-01 08:00:00,2010,9
1283306400,28800,Denpasar,-8.652497,115.219117,27.6,27.6,27.6,1014.3,,,66,4.1,120,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2010-09-01 09:00:00,2010,9
1283310000,28800,Denpasar,-8.652497,115.219117,27.8,27.6,28.0,1014.3,,,66,4.1,120,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2010-09-01 10:00:00,2010,9
1283313600,28800,Denpasar,-8.652497,115.219117,28.15,27.6,29.0,1013.9,,,62,4.1,100,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2010-09-01 11:00:00,2010,9
