,dt,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,clouds_all,weather_id,datetime,year
61525,978282000,26.62,26.62,26.62,1008.0,,,84,2.43,335,0.24,,,,,,73,500,2001-01-01 00:00:00,2001
61526,978285600,26.57,26.57,26.57,1008.0,,,83,2.98,298,0.16,,,,,,86,500,2001-01-01 01:00:00,2001
61527,978289200,26.39,26.39,26.39,1008.0,,,84,2.93,294,,,,,,,97,804,2001-01-01 02:00:00,2001
61528,978292800,24.9,24.9,24.9,1009.7,,,93,3.04,304,,,0.0,,,,20,801,2001-01-01 03:00:00,2001
61529,978296400,24.9,24.9,24.9,1009.7,,,93,2.74,315,,,0.0,,,,20,801,2001-01-01 04:00:00,2001
61530,978300000,24.9,24.9,24.9,1009.7,,,93,2.9,340,,,0.0,,,,20,801,2001-01-01 05:00:00,2001
61531,978303600,27.3,27.3,27.3,1007.6,,,86,3.34,5,,,0.0,,13.0,,80,803,2001-01-01 06:00:00,2001
61532,978307200,27.3,27.3,27.3,1007.6,,,86,3.34,12,,,0.0,,13.0,,68,803,2001-01-01 07:00:00,2001
61533,978310800,27.47,27.47,27.47,1009.0,,,80,2.85,18,,,,,,,54,803,2001-01-01 08:00:00,2001
61534,978314400,27.76,27.76,27.76,1009.0,,,78,1.91,19,,,,,,,42,802,2001-01-01 09:00:00,2001
61535,978318000,32.9,32.9,32.9,1008.1,,,60,3.6,270,,,0.0,,,,20,801,2001-01-01 10:00:00,2001
61536,978321600,32.0,32.0,32.0,1008.1,,,70,3.1,270,,,,,,,20,801,2001-01-01 11:00:00,2001
61537,978325200,32.0,32.0,32.0,1007.1,,,66,2.6,270,,,,,,,20,801,2001-01-01 12:00:00,2001
61538,978328800,33.0,33.0,33.0,1007.1,,,58,3.1,310,,,0.0,,,,20,801,2001-01-01 13:00:00,2001
61539,978332400,28.42,28.42,28.42,1007.0,,,75,1.22,183,,,,,,,97,804,2001-01-01 14:00:00,2001
61540,978336000,28.34,28.34,28.34,1007.0,,,75,0.31,169,0.11,,,,,,99,500,2001-01-01 15:00:00,2001
