,dt,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,clouds_all,weather_id,datetime,year,month
77616,1036083600,25.73,25.73,25.73,1011.0,,,89,3.54,103,0.64,,,,,,100,500,2002-11-01 00:00:00,2002,11
77617,1036087200,26.4,26.4,26.4,1010.1,,,86,1.0,20,,,0.0,,,,100,211,2002-11-01 01:00:00,2002,11
77618,1036090800,26.4,26.4,26.4,1010.1,,,86,1.0,20,,,0.0,,,,100,211,2002-11-01 02:00:00,2002,11
77619,1036094400,25.4,25.4,25.4,1010.2,,,89,1.0,20,,,0.0,,,,20,801,2002-11-01 03:00:00,2002,11
77620,1036098000,25.83,25.83,25.83,1010.0,,,88,3.22,118,0.54,,,,,,100,500,2002-11-01 04:00:00,2002,11
77621,1036101600,25.0,25.0,25.0,1010.2,,,88,2.76,122,,,,,,,20,801,2002-11-01 05:00:00,2002,11
77622,1036105200,26.0,26.0,26.0,1010.2,,,83,1.0,360,,,,,,,20,801,2002-11-01 06:00:00,2002,11
77623,1036108800,27.0,27.0,27.0,1010.8,,,81,1.5,260,,,0.0,,,,20,801,2002-11-01 07:00:00,2002,11
77624,1036112400,29.0,29.0,29.0,1011.9,,,74,1.0,90,,,,,,,20,801,2002-11-01 08:00:00,2002,11
77625,1036116000,26.25,26.25,26.25,1012.0,,,85,1.69,138,0.4,,,,,,99,500,2002-11-01 09:00:00,2002,11
77626,1036119600,25.79,25.79,25.79,1011.0,,,89,2.17,159,0.2,,,,,,99,500,2002-11-01 10:00:00,2002,11
77627,1036123200,31.0,31.0,31.0,1010.2,,,66,2.1,100,,,,,,,20,801,2002-11-01 11:00:00,2002,11
77628,1036126800,31.0,31.0,31.0,1009.1,,,70,2.6,250,,,,,,,20,801,2002-11-01 12:00:00,2002,11
77629,1036130400,31.6,31.6,31.6,1008.1,,,63,4.1,260,,,0.0,,,,20,801,2002-11-01 13:00:00,2002,11
77630,1036134000,32.0,32.0,32.0,1007.1,,,66,2.1,170,,,,,,,20,801,2002-11-01 14:00:00,2002,11
77631,1036137600,32.0,32.0,32.0,1007.1,,,66,3.1,250,,,,,,,20,801,2002-11-01 15:00:00,2002,11
77632,1036141200,31.2,31.2,31.2,1007.1,,,68,3.1,250,,,0.0,,,,20,801,2002-11-01 16:00:00,2002,11
77633,1036144800,29.0,29.0,29.0,1008.1,,,74,2.1,150,,,,,,,20,801,2002-11-01 17:00:00,2002,11
77634,1036148400,28.0,28.0,28.0,1009.1,,,83,1.73,115,,,,,,,20,801,2002-11-01 18:00:00,2002,11
77635,1036152000,28.6,28.6,28.6,1009.1,,,80,2.28,111,,,0.0,,,,20,801,2002-11-01 19:00:00,2002,11
77636,1036155600,28.0,28.0,28.0,1010.2,,,83,2.39,112,,,,,,,20,801,2002-11-01 20:00:00,2002,11
77637,1036159200,27.0,27.0,27.0,1010.2,,,88,2.66,116,,,,,,,20,801,2002-11-01 21:00:00,2002,11
77638,1036162800,27.0,27.0,27.0,1010.2,,,88,2.6,20,,,,,,,20,801,2002-11-01 22:00:00,2002,11
77639,1036166400,27.0,27.0,27.0,1010.2,,,88,2.6,20,,,,,,,20,801,2002-11-01 23:00:00,2002,11
77640,1036170000,26.6,26.6,26.6,1008.1,,,86,1.5,30,,,0.0,,,,97,211,2002-11-02 00:00:00,2002,11
77641,1036173600,26.6,26.6,26.6,1008.1,,,86,1.5,30,,,0.0,,,,100,211,2002-11-02 01:00:00,2002,11
77642,1036177200,26.6,26.6,26.6,1008.1,,,86,1.5,30,,,0.0,,,,100,211,2002-11-02 02:00:00,2002,11
77643,1036180800,25.4,25.4,25.4,1008.0,,,91,2.53,104,1.16,,,,,,100,501,2002-11-02 03:00:00,2002,11
77644,1036184400,25.42,25.42,25.42,1009.0,,,90,3.08,95,0.45,,,,,,99,500,2002-11-02 04:00:00,2002,11
77645,1036188000,25.85,25.85,25.85,1008.0,,,89,3.49,90,0.36,,,,,,96,500,2002-11-02 05:00:00,2002,11
77646,1036191600,28.3,28.3,28.3,1010.2,,,77,2.98,98,,,0.0,,,,20,801,2002-11-02 06:00:00,2002,11
77647,1036195200,25.85,25.85,25.85,1010.0,,,89,2.62,118,0.31,,,,,,98,500,2002-11-02 07:00:00,2002,11
77648,1036198800,30.0,30.0,30.0,1010.2,,,74,2.22,131,,,,,,,20,801,2002-11-02 08:00:00,2002,11
77649,1036202400,30.0,30.0,30.0,1010.2,,,70,2.09,138,,,,,,,20,801,2002-11-02 09:00:00,2002,11
77650,1036206000,31.3,31.3,31.3,1010.2,,,65,2.1,100,,,0.0,,,,20,801,2002-11-02 10:00:00,2002,11
77651,1036209600,31.0,31.0,31.0,1009.1,,,70,2.6,240,,,,,,,20,801,2002-11-02 11:00:00,2002,11
77652,1036213200,31.0,31.0,31.0,1008.1,,,70,3.1,250,,,,,,,20,801,2002-11-02 12:00:00,2002,11
77653,1036216800,32.0,32.0,32.0,1007.1,,,63,2.6,110,,,0.0,,,,20,801,2002-11-02 13:00:00,2002,11
77654,1036220400,31.0,31.0,31.0,1007.1,,,70,1.5,120,,,,,,,20,801,2002-11-02 14:00:00,2002,11
77655,1036224000,29.0,29.0,29.0,1007.1,,,79,3.1,40,,,,,,,75,501,2002-11-02 15:00:00,2002,11
77656,1036227600,25.8,25.8,25.8,1008.1,,,91,3.1,250,,14.0,,,,,75,201,2002-11-02 16:00:00,2002,11
77657,1036227600,25.8,25.8,25.8,1008.1,,,91,3.1,250,,14.0,,,,,75,502,2002-11-02 16:00:00,2002,11
77658,1036231200,25.97,25.97,25.97,1008.0,,,88,2.05,136,2.35,,,,,,100,501,2002-11-02 17:00:00,2002,11
77659,1036234800,25.66,25.66,25.66,1009.0,,,89,1.87,96,3.49,,,,,,100,501,2002-11-02 18:00:00,2002,11
77660,1036238400,26.4,26.4,26.4,1009.3,,,88,1.0,20,,1.0,18.0,,,,20,500,2002-11-02 19:00:00,2002,11
77661,1036242000,26.0,26.0,26.0,1010.2,,,94,2.34,55,,,,,,,20,801,2002-11-02 20:00:00,2002,11
77662,1036245600,26.0,26.0,26.0,1010.8,,,94,2.37,41,,,,,,,20,801,2002-11-02 21:00:00,2002,11
77663,1036249200,26.3,26.3,26.3,1010.8,,,94,1.0,330,,,0.0,,,,20,801,2002-11-02 22:00:00,2002,11
77664,1036252800,26.0,26.0,26.0,1010.2,,,94,1.57,108,,,,,,,20,801,2002-11-02 23:00:00,2002,11
77665,1036256400,26.0,26.0,26.0,1009.1,,,94,1.6,144,,,,,,,20,801,2002-11-03 00:00:00,2002,11
77666,1036260000,25.7,25.7,25.7,1009.1,,,94,1.22,155,,,0.0,,,,20,801,2002-11-03 01:00:00,2002,11
77667,1036263600,25.7,25.7,25.7,1009.1,,,94,1.46,159,,,0.0,,,,20,801,2002-11-03 02:00:00,2002,11
77668,1036267200,25.2,25.2,25.2,1007.9,,,94,1.79,146,,,0.0,,,,20,801,2002-11-03 03:00:00,2002,11
77669,1036270800,25.2,25.2,25.2,1007.9,,,94,1.79,120,,,0.0,,,,20,801,2002-11-03 04:00:00,2002,11
77670,1036274400,25.36,25.36,25.36,1009.0,,,90,2.06,119,1.75,,,,,,100,501,2002-11-03 05:00:00,2002,11
77671,1036278000,25.57,25.57,25.57,1009.0,,,89,1.65,97,0.61,,,,,,100,500,2002-11-03 06:00:00,2002,11
77672,1036281600,28.0,28.0,28.0,1010.2,,,84,2.1,360,,,0.0,,15.0,,20,801,2002-11-03 07:00:00,2002,11
77673,1036285200,29.0,29.0,29.0,1009.1,,,79,1.88,161,,,,,,,20,801,2002-11-03 08:00:00,2002,11
77674,1036288800,31.0,31.0,31.0,1009.1,,,70,2.1,100,,,,,,,20,801,2002-11-03 09:00:00,2002,11
77675,1036292400,31.4,31.4,31.4,1009.6,,,68,3.1,120,0.14,,,,,,99,500,2002-11-03 10:00:00,2002,11
77676,1036296000,26.58,26.58,26.58,1009.0,,,84,1.6,158,0.43,,,,,,99,500,2002-11-03 11:00:00,2002,11
77677,1036299600,26.4,26.4,26.4,1008.0,,,87,2.26,144,,,,,,,98,804,2002-11-03 12:00:00,2002,11
77678,1036303200,28.0,28.0,28.0,1008.1,,,74,4.1,40,,,0.0,,,,75,803,2002-11-03 13:00:00,2002,11
77679,1036306800,26.0,26.0,26.0,1007.1,,,88,18.0,300,,,,,,,75,211,2002-11-03 14:00:00,2002,11
77680,1036310400,28.0,28.0,28.0,1007.1,,,78,1.5,140,,,,,,,20,801,2002-11-03 15:00:00,2002,11
77681,1036314000,28.4,28.4,28.4,1007.1,,,78,1.5,110,,4.0,,,,,20,501,2002-11-03 16:00:00,2002,11
77682,1036317600,28.4,28.4,28.4,1007.1,,,78,1.5,110,,4.0,,,,,20,501,2002-11-03 17:00:00,2002,11
77683,1036321200,27.4,27.4,27.4,1009.1,,,87,2.86,102,,,4.0,,,,20,801,2002-11-03 18:00:00,2002,11
77684,1036324800,26.24,26.24,26.24,1009.0,,,87,3.0,109,0.3,,,,,,100,500,2002-11-03 19:00:00,2002,11
77685,1036328400,27.0,27.0,27.0,1009.1,,,88,3.02,105,,,,,,,20,801,2002-11-03 20:00:00,2002,11
77686,1036332000,26.0,26.0,26.0,1010.2,,,94,2.84,100,,,,,,,20,801,2002-11-03 21:00:00,2002,11
77687,1036335600,26.0,26.0,26.0,1010.2,,,94,2.06,90,,,,,,,20,801,2002-11-03 22:00:00,2002,11
77688,1036339200,26.63,26.63,26.63,1010.0,,,85,1.35,89,,,,,,,99,804,2002-11-03 23:00:00,2002,11
77689,1036342800,26.65,26.65,26.65,1009.0,,,84,1.02,103,,,,,,,100,804,2002-11-04 00:00:00,2002,11
77690,1036346400,26.0,26.0,26.0,1007.6,,,93,1.06,164,,,0.0,,,,20,801,2002-11-04 01:00:00,2002,11
77691,1036350000,26.0,26.0,26.0,1007.6,,,93,1.94,208,,,0.0,,,,20,801,2002-11-04 02:00:00,2002,11
77692,1036353600,25.0,25.0,25.0,1007.1,,,93,2.17,222,,,0.0,,,,20,801,2002-11-04 03:00:00,2002,11
77693,1036357200,26.01,26.01,26.01,1008.0,,,87,2.11,223,0.56,,,,,,100,500,2002-11-04 04:00:00,2002,11
