index,dt,datetime,timezone,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,snow_1h,snow_3h,snow_6h,snow_12h,snow_24h,snow_today,clouds_all,weather_id
239026,1612112400,2021-02-01 00:00:00,28800,Denpasar,-8.652497,115.219117,26.89,26.7,27.0,1008.0,,,74,6.2,290,,,,,,,,,,,,,40,802
239027,1612116000,2021-02-01 01:00:00,28800,Denpasar,-8.652497,115.219117,26.9,26.7,27.0,1008.0,,,78,3.1,330,,,,,,,,,,,,,40,802
239028,1612119600,2021-02-01 02:00:00,28800,Denpasar,-8.652497,115.219117,26.89,26.7,27.0,1008.0,,,78,3.6,290,,,,,,,,,,,,,40,802
239029,1612123200,2021-02-01 03:00:00,28800,Denpasar,-8.652497,115.219117,25.98,24.3,27.0,1008.0,,,78,5.1,300,,6.0,,,,,,,,,,,40,501
239030,1612126800,2021-02-01 04:00:00,28800,Denpasar,-8.652497,115.219117,24.1,24.0,24.3,1008.0,,,100,10.3,280,,6.0,,,,,,,,,,,75,502
239031,1612130400,2021-02-01 05:00:00,28800,Denpasar,-8.652497,115.219117,25.98,24.3,27.0,1009.0,,,78,7.2,280,,6.0,,,,,,,,,,,40,501
239032,1612134000,2021-02-01 06:00:00,28800,Denpasar,-8.652497,115.219117,26.96,26.9,27.0,1009.0,,,83,5.7,290,,12.0,,,39.0,,,,,,,,75,501
239033,1612137600,2021-02-01 07:00:00,28800,Denpasar,-8.652497,115.219117,26.97,26.9,27.0,1010.0,,,83,6.2,290,,12.0,,,39.0,,,,,,,,75,501
239034,1612141200,2021-02-01 08:00:00,28800,Denpasar,-8.652497,115.219117,26.34,26.0,26.9,1010.0,,,88,6.7,300,,12.0,,,39.0,,,,,,,,75,501
239035,1612144800,2021-02-01 09:00:00,28800,Denpasar,-8.652497,115.219117,25.83,23.9,27.0,1010.0,,,78,3.1,280,,,,,,,,,,,,,75,500
239036,1612148400,2021-02-01 10:00:00,28800,Denpasar,-8.652497,115.219117,23.97,23.9,24.0,1010.0,,,94,10.8,300,,,,,,,,,,,,,75,502
239037,1612152000,2021-02-01 11:00:00,28800,Denpasar,-8.652497,115.219117,25.21,23.9,26.0,1010.0,,,94,9.3,290,,,,,,,,,,,,,75,500
239038,1612155600,2021-02-01 12:00:00,28800,Denpasar,-8.652497,115.219117,25.15,25.0,25.4,1009.0,,,88,7.2,290,,17.0,28.0,,,,,,,,,,75,502
239039,1612159200,2021-02-01 13:00:00,28800,Denpasar,-8.652497,115.219117,25.13,25.0,25.4,1009.0,,,94,5.1,300,,17.0,28.0,,,,,,,,,,75,502
239040,1612162800,2021-02-01 14:00:00,28800,Denpasar,-8.652497,115.219117,25.77,25.4,26.0,1008.0,,,88,4.1,310,,17.0,28.0,,,,,,,,,,40,502
239041,1612166400,2021-02-01 15:00:00,28800,Denpasar,-8.652497,115.219117,26.15,26.0,26.4,1007.0,,,88,3.6,330,,3.0,,,,,,,,,,,40,500
239042,1612170000,2021-02-01 16:00:00,28800,Denpasar,-8.652497,115.219117,26.8,26.4,27.0,1007.0,,,83,3.6,320,,3.0,,,,,,,,,,,20,500
239043,1612173600,2021-02-01 17:00:00,28800,Denpasar,-8.652497,115.219117,26.77,26.4,27.0,1007.0,,,83,3.6,310,,3.0,,,,,,,,,,,20,500
239044,1612177200,2021-02-01 18:00:00,28800,Denpasar,-8.652497,115.219117,27.19,27.0,27.5,1008.0,,,83,3.6,310,,,3.0,,,,,,,,,,75,803
239045,1612180800,2021-02-01 19:00:00,28800,Denpasar,-8.652497,115.219117,27.83,27.5,28.0,1008.0,,,78,5.7,270,,,3.0,,,,,,,,,,40,802
239046,1612184400,2021-02-01 20:00:00,28800,Denpasar,-8.652497,115.219117,25.62,24.0,27.5,1009.0,,,100,7.7,250,,,3.0,,,,,,,,,,75,501
239047,1612188000,2021-02-01 21:00:00,28800,Denpasar,-8.652497,115.219117,25.68,25.0,26.0,1009.0,,,94,5.1,250,,23.0,,,,,,,,,,,75,502
239048,1612191600,2021-02-01 22:00:00,28800,Denpasar,-8.652497,115.219117,26.0,26.0,26.0,1009.0,,,88,6.7,270,,23.0,,,,,,,,,,,20,502
239049,1612195200,2021-02-01 23:00:00,28800,Denpasar,-8.652497,115.219117,26.62,26.0,27.0,1008.0,,,83,5.7,270,,23.0,,,,,,,,,,,20,502
239050,1612198800,2021-02-02 00:00:00,28800,Denpasar,-8.652497,115.219117,26.51,25.7,27.0,1007.0,,,83,7.2,300,,1.0,24.0,,,,,,,,,,20,500
239051,1612202400,2021-02-02 01:00:00,28800,Denpasar,-8.652497,115.219117,25.9,25.7,26.0,1007.0,,,88,5.1,330,,1.0,24.0,,,,,,,,,,40,500
239052,1612206000,2021-02-02 02:00:00,28800,Denpasar,-8.652497,115.219117,25.26,25.0,25.7,1007.0,,,94,7.2,280,,1.0,24.0,,,,,,,,,,75,501
239053,1612209600,2021-02-02 03:00:00,28800,Denpasar,-8.652497,115.219117,24.19,24.0,24.5,1007.0,,,100,7.2,300,,44.0,,,,,,,,,,,75,502
