dt,timezone,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,snow_1h,snow_3h,snow_6h,snow_12h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon,datetime,year,month
1301590800,28800,Denpasar,-8.652497,115.219117,26.52,26.2,27.0,1010.2,,,88,2.6,290,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2011-04-01 00:00:00,2011,4
1301594400,28800,Denpasar,-8.652497,115.219117,26.1,26.0,26.2,1009.0,,,89,0.42,110,,,,,,,,,,,,,20,211,Thunderstorm,proximity thunderstorm,11n,2011-04-01 01:00:00,2011,4
1301598000,28800,Denpasar,-8.652497,115.219117,26.1,26.0,26.2,1009.1,,,94,0.49,281,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2011-04-01 02:00:00,2011,4
1301601600,28800,Denpasar,-8.652497,115.219117,25.8,25.6,26.0,1009.1,,,94,2.1,360,,25.0,,,,,,,,,,,20,502,Rain,heavy intensity rain,10n,2011-04-01 03:00:00,2011,4
1301605200,28800,Denpasar,-8.652497,115.219117,25.6,25.6,25.6,1009.0,,,94,2.1,360,,25.0,,,,,,,,,,,20,502,Rain,heavy intensity rain,10n,2011-04-01 04:00:00,2011,4
1301608800,28800,Denpasar,-8.652497,115.219117,25.36,25.0,25.6,1010.2,,,94,1.05,235,,25.0,,,,,,,,,,,20,502,Rain,heavy intensity rain,10n,2011-04-01 05:00:00,2011,4
1301612400,28800,Denpasar,-8.652497,115.219117,25.48,25.0,25.8,1010.2,,,94,0.97,202,,,,,24.9,,,,,,,,20,801,Clouds,few clouds,02d,2011-04-01 06:00:00,2011,4
1301616000,28800,Denpasar,-8.652497,115.219117,25.9,25.8,26.0,1010.8,,,94,1.22,231,,,,,24.9,,,,,,,,75,803,Clouds,broken clouds,04d,2011-04-01 07:00:00,2011,4
1301619600,28800,Denpasar,-8.652497,115.219117,25.8,25.8,25.8,1010.6,,,94,2.1,360,,,,,24.9,,,,,,,,40,802,Clouds,scattered clouds,03d,2011-04-01 08:00:00,2011,4
1301623200,28800,Denpasar,-8.652497,115.219117,29.5,29.5,29.5,1011.5,,,79,4.6,270,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2011-04-01 09:00:00,2011,4
1301626800,28800,Denpasar,-8.652497,115.219117,29.75,29.5,30.0,1011.5,,,79,4.6,270,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2011-04-01 10:00:00,2011,4
1301630400,28800,Denpasar,-8.652497,115.219117,29.3,29.0,29.5,1010.8,,,79,4.1,240,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2011-04-01 11:00:00,2011,4
1301634000,28800,Denpasar,-8.652497,115.219117,28.42,28.0,28.7,1010.2,,,83,3.1,250,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2011-04-01 12:00:00,2011,4
1301637600,28800,Denpasar,-8.652497,115.219117,28.85,28.7,29.0,1009.1,,,74,3.1,250,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2011-04-01 13:00:00,2011,4
1301641200,28800,Denpasar,-8.652497,115.219117,29.61,28.7,31.0,1009.1,,,70,2.6,250,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2011-04-01 14:00:00,2011,4
1301644800,28800,Denpasar,-8.652497,115.219117,29.33,28.9,30.0,1008.1,,,70,4.1,300,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2011-04-01 15:00:00,2011,4
1301648400,28800,Denpasar,-8.652497,115.219117,28.95,28.9,29.0,1009.1,,,70,2.1,350,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2011-04-01 16:00:00,2011,4
1301652000,28800,Denpasar,-8.652497,115.219117,28.54,28.0,28.9,1009.1,,,83,2.6,180,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2011-04-01 17:00:00,2011,4
1301655600,28800,Denpasar,-8.652497,115.219117,27.4,27.4,27.4,1009.6,,,84,1.51,106,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2011-04-01 18:00:00,2011,4
1301659200,28800,Denpasar,-8.652497,115.219117,27.4,27.4,27.4,1009.6,,,84,2.6,107,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2011-04-01 19:00:00,2011,4
1301662800,28800,Denpasar,-8.652497,115.219117,27.24,27.0,27.4,1010.2,,,83,2.1,120,,,,,,,,,,,,,75,803,Clouds,broken clouds,04n,2011-04-01 20:00:00,2011,4
1301666400,28800,Denpasar,-8.652497,115.219117,26.8,26.8,26.8,1010.2,,,87,1.54,91,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2011-04-01 21:00:00,2011,4
1301670000,28800,Denpasar,-8.652497,115.219117,26.8,26.8,26.8,1010.2,,,87,1.02,73,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2011-04-01 22:00:00,2011,4
1301673600,28800,Denpasar,-8.652497,115.219117,26.88,26.8,27.0,1010.8,,,88,0.73,70,,,,,,,,,,,,,75,803,Clouds,broken clouds,04n,2011-04-01 23:00:00,2011,4
1301677200,28800,Denpasar,-8.652497,115.219117,25.76,25.6,26.0,1010.2,,,88,0.68,82,,,,,,,,,,,,,75,803,Clouds,broken clouds,04n,2011-04-02 00:00:00,2011,4
1301680800,28800,Denpasar,-8.652497,115.219117,25.8,25.6,26.0,1009.1,,,94,1.02,85,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2011-04-02 01:00:00,2011,4
1301684400,28800,Denpasar,-8.652497,115.219117,25.8,25.6,26.0,1009.2,,,93,0.8,73,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2011-04-02 02:00:00,2011,4
1301688000,28800,Denpasar,-8.652497,115.219117,24.2,24.0,24.4,1008.7,,,93,1.0,90,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2011-04-02 03:00:00,2011,4
1301691600,28800,Denpasar,-8.652497,115.219117,24.4,24.4,24.4,1008.7,,,93,1.54,105,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2011-04-02 04:00:00,2011,4
1301695200,28800,Denpasar,-8.652497,115.219117,24.24,24.0,24.4,1009.1,,,94,1.83,94,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2011-04-02 05:00:00,2011,4
1301698800,28800,Denpasar,-8.652497,115.219117,25.61,25.0,26.0,1010.2,,,94,1.26,88,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03d,2011-04-02 06:00:00,2011,4
