dt,timezone,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,snow_1h,snow_3h,snow_6h,snow_12h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon,datetime,year,month
867690000,28800,Denpasar,-8.652497,115.219117,26.1,26.1,26.1,1011.0,,,83,7.68,115,,,,,,,,,,,,,49,802,Clouds,scattered clouds,03n,1997-07-01 00:00:00,1997,7
867693600,28800,Denpasar,-8.652497,115.219117,26.1,26.1,26.1,1011.0,,,82,7.68,114,,,,,,,,,,,,,52,803,Clouds,broken clouds,04n,1997-07-01 01:00:00,1997,7
867697200,28800,Denpasar,-8.652497,115.219117,26.04,26.04,26.04,1011.0,,,82,7.59,112,,,,,,,,,,,,,50,802,Clouds,scattered clouds,03n,1997-07-01 02:00:00,1997,7
867700800,28800,Denpasar,-8.652497,115.219117,25.99,25.99,25.99,1011.0,,,82,7.63,110,,,,,,,,,,,,,54,803,Clouds,broken clouds,04n,1997-07-01 03:00:00,1997,7
867704400,28800,Denpasar,-8.652497,115.219117,25.83,25.83,25.83,1011.0,,,83,7.34,108,0.13,,,,,,,,,,,,42,500,Rain,light rain,10n,1997-07-01 04:00:00,1997,7
867708000,28800,Denpasar,-8.652497,115.219117,25.6,25.6,25.6,1011.0,,,84,7.12,105,0.22,,,,,,,,,,,,42,500,Rain,light rain,10n,1997-07-01 05:00:00,1997,7
867711600,28800,Denpasar,-8.652497,115.219117,25.69,25.69,25.69,1011.0,,,83,7.5,108,0.11,,,,,,,,,,,,26,500,Rain,light rain,10d,1997-07-01 06:00:00,1997,7
867715200,28800,Denpasar,-8.652497,115.219117,25.95,25.95,25.95,1012.0,,,82,8.01,109,,,,,,,,,,,,,41,802,Clouds,scattered clouds,03d,1997-07-01 07:00:00,1997,7
867718800,28800,Denpasar,-8.652497,115.219117,28.0,28.0,28.0,1011.9,,,69,4.1,100,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,1997-07-01 08:00:00,1997,7
867722400,28800,Denpasar,-8.652497,115.219117,26.09,26.09,26.09,1013.0,,,81,8.39,112,,,,,,,,,,,,,39,802,Clouds,scattered clouds,03d,1997-07-01 09:00:00,1997,7
867726000,28800,Denpasar,-8.652497,115.219117,28.7,28.7,28.7,1012.5,,,65,4.6,100,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02d,1997-07-01 10:00:00,1997,7
867729600,28800,Denpasar,-8.652497,115.219117,29.0,29.0,29.0,1011.9,,,66,4.1,110,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,1997-07-01 11:00:00,1997,7
867733200,28800,Denpasar,-8.652497,115.219117,29.0,29.0,29.0,1010.8,,,66,4.6,100,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,1997-07-01 12:00:00,1997,7
867736800,28800,Denpasar,-8.652497,115.219117,29.0,29.0,29.0,1010.2,,,66,4.1,110,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,1997-07-01 13:00:00,1997,7
867740400,28800,Denpasar,-8.652497,115.219117,29.0,29.0,29.0,1009.1,,,66,4.6,120,,,,,,,,,,,,,11,801,Clouds,few clouds,02d,1997-07-01 14:00:00,1997,7
867744000,28800,Denpasar,-8.652497,115.219117,29.0,29.0,29.0,1009.1,,,66,4.6,110,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,1997-07-01 15:00:00,1997,7
867747600,28800,Denpasar,-8.652497,115.219117,28.6,28.6,28.6,1009.1,,,61,4.6,120,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02d,1997-07-01 16:00:00,1997,7
867751200,28800,Denpasar,-8.652497,115.219117,26.05,26.05,26.05,1010.0,,,77,7.02,124,,,,,,,,,,,,,8,800,Clear,sky is clear,01d,1997-07-01 17:00:00,1997,7
