index,dt,datetime,timezone,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,snow_1h,snow_3h,snow_6h,snow_12h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
60768,975603600,2000-12-01 00:00:00,28800,Denpasar,-8.652497,115.219117,26.24,26.24,26.24,1009.0,,,88,1.92,102,0.13,,,,,,,,,,,,100,500,Rain,light rain,10n
60769,975607200,2000-12-01 01:00:00,28800,Denpasar,-8.652497,115.219117,26.1,26.1,26.1,1009.1,,,94,2.1,350,,,7.0,,,,,,,,,,20,211,Thunderstorm,thunderstorm,11n
60770,975610800,2000-12-01 02:00:00,28800,Denpasar,-8.652497,115.219117,26.1,26.1,26.1,1009.1,,,94,2.1,350,,,7.0,,,,,,,,,,20,211,Thunderstorm,thunderstorm,11n
60771,975614400,2000-12-01 03:00:00,28800,Denpasar,-8.652497,115.219117,26.0,26.0,26.0,1008.2,,,94,2.03,136,,0.2,,,,,,,,,,,20,500,Rain,light rain,10n
60772,975618000,2000-12-01 04:00:00,28800,Denpasar,-8.652497,115.219117,26.05,26.05,26.05,1008.0,,,89,1.43,126,0.53,,,,,,,,,,,,97,500,Rain,light rain,10n
60773,975621600,2000-12-01 05:00:00,28800,Denpasar,-8.652497,115.219117,25.0,25.0,25.0,1008.1,,,100,1.28,150,,,,,,,,,,,,,20,801,Clouds,few clouds,02d
60774,975625200,2000-12-01 06:00:00,28800,Denpasar,-8.652497,115.219117,25.92,25.92,25.92,1009.0,,,89,1.79,127,0.32,,,,,,,,,,,,97,500,Rain,light rain,10d
60775,975628800,2000-12-01 07:00:00,28800,Denpasar,-8.652497,115.219117,27.0,27.0,27.0,1009.1,,,92,1.31,93,,,,,7.0,,,,,,,,20,801,Clouds,few clouds,02d
60776,975632400,2000-12-01 08:00:00,28800,Denpasar,-8.652497,115.219117,27.0,27.0,27.0,1009.1,,,92,1.4,123,,,,,7.0,,,,,,,,20,801,Clouds,few clouds,02d
60777,975636000,2000-12-01 09:00:00,28800,Denpasar,-8.652497,115.219117,31.2,31.2,31.2,1009.6,,,68,3.6,260,,,,,,,,,,,,,98,804,Clouds,overcast clouds,04d
60778,975639600,2000-12-01 10:00:00,28800,Denpasar,-8.652497,115.219117,31.2,31.2,31.2,1009.6,,,68,3.6,260,,,,,,,,,,,,,100,804,Clouds,overcast clouds,04d
60779,975643200,2000-12-01 11:00:00,28800,Denpasar,-8.652497,115.219117,31.2,31.2,31.2,1009.6,,,68,3.6,260,0.2,,,,,,,,,,,,100,500,Rain,light rain,10d
60780,975646800,2000-12-01 12:00:00,28800,Denpasar,-8.652497,115.219117,30.8,30.8,30.8,1006.5,,,65,2.6,170,,,,,,,,,,,,,100,804,Clouds,overcast clouds,04d
60781,975650400,2000-12-01 13:00:00,28800,Denpasar,-8.652497,115.219117,30.8,30.8,30.8,1006.5,,,65,2.6,170,0.17,,,,,,,,,,,,100,500,Rain,light rain,10d
60782,975654000,2000-12-01 14:00:00,28800,Denpasar,-8.652497,115.219117,26.64,26.64,26.64,1007.0,,,86,1.74,148,1.48,,,,,,,,,,,,99,501,Rain,moderate rain,10d
60783,975657600,2000-12-01 15:00:00,28800,Denpasar,-8.652497,115.219117,26.64,26.64,26.64,1007.0,,,86,1.49,161,0.23,,,,,,,,,,,,100,500,Rain,light rain,10d
60784,975661200,2000-12-01 16:00:00,28800,Denpasar,-8.652497,115.219117,29.8,29.8,29.8,1007.1,,,74,3.1,70,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02d
60785,975664800,2000-12-01 17:00:00,28800,Denpasar,-8.652497,115.219117,29.8,29.8,29.8,1007.1,,,74,3.1,70,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02d
